s,kW
Time,HRR_comp
 0.0000000E+000, 0.0000000E+000
 3.0002537E+001, 3.3422329E+002
 6.0028370E+001, 5.9661367E+002
 9.0019617E+001, 4.3728319E+002
 1.2000803E+002, 6.0786715E+002
 1.5002913E+002, 5.2053064E+002
 1.8003047E+002, 5.0286064E+002
 2.1000706E+002, 5.0489053E+002
 2.4000637E+002, 5.2420618E+002
 2.7003400E+002, 5.1377530E+002
 3.0002985E+002, 5.0844214E+002
 3.3002023E+002, 4.9254819E+002
 3.6000249E+002, 5.3412985E+002
 3.9002816E+002, 4.8941951E+002
 4.2000582E+002, 5.0742458E+002
 4.5001040E+002, 5.3739208E+002
 4.8003030E+002, 5.3855710E+002
 5.1001312E+002, 5.0777667E+002
 5.4001741E+002, 4.9854910E+002
 5.7002560E+002, 5.2887913E+002
 6.0000084E+002, 5.1660392E+002
 6.3000774E+002, 5.0320826E+002
 6.6001990E+002, 5.3906574E+002
 6.9001229E+002, 5.7679652E+002
 7.2002884E+002, 5.2996668E+002
 7.5002983E+002, 5.4327913E+002
 7.8002267E+002, 5.5817369E+002
 8.1000264E+002, 5.3297627E+002
 8.4000808E+002, 5.2291459E+002
 8.7002187E+002, 5.5635539E+002
 9.0000742E+002, 5.3246601E+002
 9.3001221E+002, 5.5066533E+002
 9.6001930E+002, 5.5267110E+002
 9.9000175E+002, 5.2544646E+002
 1.0200077E+003, 5.5798317E+002
 1.0500091E+003, 5.7177479E+002
 1.0800179E+003, 5.4966043E+002
 1.1100018E+003, 5.4315794E+002
 1.1400146E+003, 5.7272447E+002
 1.1700012E+003, 5.3775667E+002
 1.2000036E+003, 5.7032986E+002
 1.2300150E+003, 5.5376362E+002
 1.2600249E+003, 5.9882753E+002
 1.2900103E+003, 5.7663018E+002
 1.3200182E+003, 5.6070845E+002
 1.3500232E+003, 5.5967837E+002
 1.3800223E+003, 5.7240853E+002
 1.4100055E+003, 5.6414592E+002
 1.4400166E+003, 5.6518947E+002
 1.4700097E+003, 5.4126043E+002
 1.5000047E+003, 5.5800824E+002
 1.5300216E+003, 5.8426475E+002
 1.5600152E+003, 5.8673162E+002
 1.5900059E+003, 5.8437428E+002
 1.6200206E+003, 5.4979016E+002
 1.6500284E+003, 5.5131975E+002
 1.6800026E+003, 5.4835270E+002
 1.7100034E+003, 5.7660310E+002
 1.7400028E+003, 5.2539789E+002
 1.7700159E+003, 5.8612806E+002
 1.8000000E+003, 5.5892488E+002
