s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_INTERMEDIATE PRODUCTS,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.4017300E-002, 7.0268062E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.4017293E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.0002537E+001, 3.3422987E+002, 0.0000000E+000,-8.0231968E+001, 9.9669700E+000, 4.8512234E+000, 2.0868046E+000, 0.0000000E+000, 0.0000000E+000, 2.6902187E+002, 2.7090290E+002, 0.0000000E+000, 1.1030156E-002, 0.0000000E+000, 0.0000000E+000
 6.0028370E+001, 6.0053973E+002, 0.0000000E+000,-2.0107612E+002, 2.4543546E+001, 8.2679464E+000, 7.5921448E+000, 0.0000000E+000, 0.0000000E+000, 4.3679069E+002, 4.3986724E+002, 0.0000000E+000, 1.3140404E-002, 0.0000000E+000, 0.0000000E+000
 9.0019615E+001, 4.3761765E+002, 0.0000000E+000,-1.9799728E+002,-1.9985835E+002, 1.2780990E+001, 6.5609806E+000, 0.0000000E+000, 0.0000000E+000, 5.5914008E+001, 5.9103989E+001, 0.0000000E+000, 1.3140404E-002, 0.0000000E+000, 0.0000000E+000
 1.2000803E+002, 6.5969447E+002, 0.0000000E+000,-2.8493091E+002,-3.0649315E+002, 2.7402658E+001, 7.6185588E+000, 0.0000000E+000, 0.0000000E+000, 9.7479682E+001, 1.0329164E+002, 0.0000000E+000, 1.3140404E-002, 0.0000000E+000, 0.0000000E+000
 1.5002913E+002, 6.0874294E+002, 0.0000000E+000,-2.5154632E+002,-3.7844646E+002, 3.3381927E+001, 9.0826310E+000, 0.0000000E+000, 0.0000000E+000, 1.5250281E+001, 2.1214720E+001, 0.0000000E+000, 1.3140404E-002, 0.0000000E+000, 0.0000000E+000
 1.8003047E+002, 5.4333544E+002, 0.0000000E+000,-2.4569742E+002,-3.8495809E+002, 3.5996914E+001, 8.7558766E+000, 0.0000000E+000, 0.0000000E+000,-4.7571329E+001,-4.2567278E+001, 0.0000000E+000, 1.3140404E-002, 0.0000000E+000, 0.0000000E+000
 2.1000706E+002, 6.1233793E+002, 0.0000000E+000,-2.5236128E+002,-3.5438183E+002, 3.7533782E+001, 8.8026761E+000, 0.0000000E+000, 0.0000000E+000, 4.5467506E+001, 5.1931280E+001, 0.0000000E+000, 1.3140404E-002, 0.0000000E+000, 0.0000000E+000
 2.4000638E+002, 6.2407854E+002, 0.0000000E+000,-2.5505868E+002,-4.0944288E+002, 3.8349007E+001, 8.6867957E+000, 0.0000000E+000, 0.0000000E+000,-7.1833085E-001, 6.6127851E+000, 0.0000000E+000, 1.3140404E-002, 0.0000000E+000, 0.0000000E+000
 2.7003400E+002, 5.7592467E+002, 0.0000000E+000,-2.4196651E+002,-3.7377003E+002, 3.9382415E+001, 9.1721361E+000, 0.0000000E+000, 0.0000000E+000, 1.8937987E+000, 8.7426735E+000, 0.0000000E+000, 1.3140404E-002, 0.0000000E+000, 0.0000000E+000
