s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.8965704E+000, 8.9999263E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.8965614E+000, 0.0000000E+000
 3.0003847E+001, 0.0000000E+000, 0.0000000E+000,-1.8806005E-002, 1.3960886E-003,-1.0494773E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.7374657E-002,-2.7904689E-002, 3.9982673E-002
 6.0003021E+001, 0.0000000E+000, 0.0000000E+000, 7.0648483E-003,-6.7710854E-001,-4.0533052E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.0755619E-001,-7.1057675E-001, 5.0861819E-007
 9.0002190E+001, 0.0000000E+000, 0.0000000E+000, 4.5334997E-002,-1.2975670E+000,-2.4668430E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3071274E+000,-1.2769005E+000, 2.3289825E-007
 1.2000137E+002, 0.0000000E+000, 0.0000000E+000, 9.1348379E-002,-1.6607548E+000, 2.0922799E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3624043E+000,-1.3601784E+000, 4.1964240E-007
 1.5000116E+002, 0.0000000E+000, 0.0000000E+000, 1.3977995E-001,-1.9960797E+000, 3.6696876E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4921714E+000,-1.4893310E+000,-5.4162754E-007
 1.8000575E+002, 0.0000000E+000, 0.0000000E+000, 1.8414846E-001,-1.9419018E+000, 4.9450538E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2464450E+000,-1.2632480E+000,-2.3978809E-007
 2.1000453E+002, 0.0000000E+000, 0.0000000E+000, 2.2111780E-001,-1.8604099E+000, 5.8461617E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0096108E+000,-1.0546760E+000,-3.7648638E-007
 2.4000333E+002, 0.0000000E+000, 0.0000000E+000, 2.4879725E-001,-1.7924827E+000, 7.1189871E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.1178808E-001,-8.3178674E-001, 6.3674677E-008
 2.7000211E+002, 0.0000000E+000, 0.0000000E+000, 2.7408076E-001,-1.7829825E+000, 7.0482278E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.0279716E-001,-8.0407896E-001,-2.4282448E-007
 3.0000089E+002, 0.0000000E+000, 0.0000000E+000, 2.9915984E-001,-1.7763359E+000, 7.5375245E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.4298577E-001,-7.2342358E-001, 4.7607551E-007
 3.3000552E+002, 0.0000000E+000, 0.0000000E+000, 3.2158907E-001,-2.0183712E+000, 8.7801611E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.1753120E-001,-8.1876599E-001, 9.7079787E-003
 3.6000015E+002, 0.0000000E+000, 0.0000000E+000, 3.5012019E-001,-2.3408779E+000, 1.0120192E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.5217597E-001,-9.7873846E-001, 3.1139272E-007
 3.9000040E+002, 0.0000000E+000, 0.0000000E+000, 3.8023040E-001,-2.4892195E+000, 1.1267349E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.4096546E-001,-9.8225421E-001, 5.5469811E-007
 4.2000064E+002, 0.0000000E+000, 0.0000000E+000, 4.0688938E-001,-2.4864381E+000, 1.2557276E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.1862245E-001,-8.2382105E-001, 9.1266384E-007
