s,kW
Time,HRR_comp
 0.0000000E+000, 0.0000000E+000
 3.0011205E+001, 3.4938782E+002
 6.0005120E+001, 5.6446012E+002
 9.0012041E+001, 4.7209890E+002
 1.2000766E+002, 5.1158667E+002
 1.5000995E+002, 5.4523935E+002
 1.8000910E+002, 5.0480356E+002
 2.1000787E+002, 5.0012836E+002
 2.4000250E+002, 5.1967542E+002
 2.7001201E+002, 5.2454920E+002
 3.0001383E+002, 5.0381501E+002
 3.3000311E+002, 4.9787485E+002
 3.6001633E+002, 4.9170987E+002
 3.9001222E+002, 4.9116557E+002
 4.2000595E+002, 5.2056421E+002
 4.5000773E+002, 4.8784092E+002
 4.8000921E+002, 5.1548049E+002
 5.1000988E+002, 5.2676107E+002
 5.4001337E+002, 5.0147387E+002
 5.7001056E+002, 5.1488539E+002
 6.0001559E+002, 4.9789381E+002
 6.3000658E+002, 4.9593968E+002
 6.6001123E+002, 5.3647511E+002
 6.9000493E+002, 5.3222224E+002
 7.2001418E+002, 5.4868787E+002
 7.5000203E+002, 5.3771557E+002
 7.8001129E+002, 5.6597765E+002
 8.1000077E+002, 5.3260282E+002
 8.4000585E+002, 5.3371573E+002
 8.7000263E+002, 5.3718331E+002
 9.0000582E+002, 5.2757338E+002
 9.3000091E+002, 5.2968811E+002
 9.6001107E+002, 5.6774018E+002
 9.9000994E+002, 5.4716067E+002
 1.0200159E+003, 5.4670546E+002
 1.0500013E+003, 5.4320424E+002
 1.0800011E+003, 5.2498391E+002
 1.1100116E+003, 5.6450362E+002
 1.1400007E+003, 5.2932679E+002
 1.1700070E+003, 5.3569140E+002
 1.2000121E+003, 5.4942397E+002
 1.2300145E+003, 5.5368077E+002
 1.2600033E+003, 5.5937607E+002
 1.2900009E+003, 5.4665174E+002
 1.3200047E+003, 5.8290665E+002
 1.3500134E+003, 5.5652819E+002
 1.3800034E+003, 5.8596114E+002
 1.4100071E+003, 5.6782216E+002
 1.4400034E+003, 5.7143387E+002
 1.4700007E+003, 5.8835316E+002
 1.5000124E+003, 5.5286765E+002
 1.5300061E+003, 5.5695866E+002
 1.5600110E+003, 5.6448822E+002
 1.5900050E+003, 5.6556443E+002
 1.6200074E+003, 5.8171120E+002
 1.6500098E+003, 5.7639249E+002
 1.6800100E+003, 5.6582423E+002
 1.7100109E+003, 5.6388056E+002
 1.7400030E+003, 5.6138233E+002
 1.7700090E+003, 5.5905576E+002
 1.8000000E+003, 5.9834076E+002
