s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_INTERMEDIATE PRODUCTS,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.2672076E-002, 8.5051182E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.2672067E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.0011206E+001, 3.4938900E+002, 0.0000000E+000,-8.4663512E+001, 1.1121183E+001, 7.1436540E+000, 2.3451145E+000, 0.0000000E+000, 0.0000000E+000, 2.8404002E+002, 2.8533544E+002, 0.0000000E+000, 1.1233237E-002, 0.0000000E+000, 0.0000000E+000
 6.0005119E+001, 5.6452258E+002, 0.0000000E+000,-1.9435731E+002, 1.7383129E+001, 9.6907839E+000, 7.9634334E+000, 0.0000000E+000, 0.0000000E+000, 4.0254924E+002, 4.0520261E+002, 0.0000000E+000, 1.3426596E-002, 0.0000000E+000, 0.0000000E+000
 9.0012039E+001, 5.1803174E+002, 0.0000000E+000,-2.0677697E+002,-1.3453385E+002, 1.5567823E+001, 6.2514282E+000, 0.0000000E+000, 0.0000000E+000, 1.9147262E+002, 1.9854017E+002, 0.0000000E+000, 1.3426596E-002, 0.0000000E+000, 0.0000000E+000
 1.2000766E+002, 5.9364428E+002, 0.0000000E+000,-2.4696095E+002,-4.0662175E+002, 2.7398175E+001, 7.5972470E+000, 0.0000000E+000, 0.0000000E+000,-3.2040789E+001,-2.4943006E+001, 0.0000000E+000, 1.3426596E-002, 0.0000000E+000, 0.0000000E+000
 1.5000995E+002, 6.3817807E+002, 0.0000000E+000,-2.6416523E+002,-4.0411380E+002, 3.3852947E+001, 8.5552160E+000, 0.0000000E+000, 0.0000000E+000, 4.7309798E+000, 1.2307199E+001, 0.0000000E+000, 1.3426596E-002, 0.0000000E+000, 0.0000000E+000
 1.8000909E+002, 5.9053739E+002, 0.0000000E+000,-2.5179765E+002,-3.3784387E+002, 3.6437549E+001, 8.2170617E+000, 0.0000000E+000, 0.0000000E+000, 3.7938291E+001, 4.5550477E+001, 0.0000000E+000, 1.3426596E-002, 0.0000000E+000, 0.0000000E+000
 2.1000787E+002, 6.0122285E+002, 0.0000000E+000,-2.5482848E+002,-4.0069041E+002, 3.8061770E+001, 8.5800341E+000, 0.0000000E+000, 0.0000000E+000,-1.6613993E+001,-7.6542368E+000, 0.0000000E+000, 1.3426596E-002, 0.0000000E+000, 0.0000000E+000
 2.4000250E+002, 6.3523851E+002, 0.0000000E+000,-2.6477887E+002,-4.1878449E+002, 4.0666972E+001, 8.7140049E+000, 0.0000000E+000, 0.0000000E+000,-6.5519760E+000, 1.0561281E+000, 0.0000000E+000, 1.3426596E-002, 0.0000000E+000, 0.0000000E+000
 2.7001199E+002, 6.4138756E+002, 0.0000000E+000,-2.5725074E+002,-3.8552705E+002, 4.0914938E+001, 8.8406190E+000, 0.0000000E+000, 0.0000000E+000, 3.9555491E+001, 4.8365333E+001, 0.0000000E+000, 1.3426596E-002, 0.0000000E+000, 0.0000000E+000
