s,m,,
Time,xT,x,flag val
 0.0000000E+000, 2.5000000E-002, 2.5000000E-002, 1.0000000E+000
 1.0091347E+000, 8.1924936E-002, 8.1924936E-002, 1.0000000E+000
 2.0090763E+000, 7.7533220E-002, 7.7533220E-002, 1.0000000E+000
 3.0027861E+000, 7.5932905E-002, 7.5932905E-002, 1.0000000E+000
 4.0069559E+000, 7.5339966E-002, 7.5339966E-002, 1.0000000E+000
 5.0053471E+000, 7.5124733E-002, 7.5124733E-002, 1.0000000E+000
 6.0027273E+000, 1.0605992E-001, 1.0605992E-001, 1.0000000E+000
 7.0066645E+000, 1.0151742E-001, 1.0151742E-001, 1.0000000E+000
 8.0046137E+000, 1.3405966E-001, 1.3405966E-001, 1.0000000E+000
 9.0025506E+000, 1.6465520E-001, 1.6465520E-001, 1.0000000E+000
 1.0000772E+001, 2.0283987E-001, 2.0283987E-001, 1.0000000E+000
 1.1003274E+001, 2.3587519E-001, 2.3587519E-001, 1.0000000E+000
 1.2001344E+001, 2.8492510E-001, 2.8492510E-001, 1.0000000E+000
 1.3001338E+001, 3.3672294E-001, 3.3672294E-001, 1.0000000E+000
 1.4002819E+001, 3.8553266E-001, 3.8553266E-001, 1.0000000E+000
 1.5002971E+001, 4.3166747E-001, 4.3166747E-001, 1.0000000E+000
 1.6002171E+001, 4.7331364E-001, 4.7331364E-001, 1.0000000E+000
 1.7002347E+001, 5.1303156E-001, 5.1303156E-001, 1.0000000E+000
 1.8002107E+001, 5.5149086E-001, 5.5149086E-001, 1.0000000E+000
 1.9003411E+001, 5.9401872E-001, 5.9401872E-001, 1.0000000E+000
 2.0000920E+001, 6.3297770E-001, 6.3297770E-001, 1.0000000E+000
 2.1001371E+001, 6.7064093E-001, 6.7064093E-001, 1.0000000E+000
 2.2006251E+001, 7.0515843E-001, 7.0515843E-001, 1.0000000E+000
 2.3001396E+001, 7.4670688E-001, 7.4670688E-001, 1.0000000E+000
 2.4001192E+001, 7.8585180E-001, 7.8585180E-001, 1.0000000E+000
 2.5001811E+001, 8.2265327E-001, 8.2265327E-001, 1.0000000E+000
 2.6001659E+001, 8.5578855E-001, 8.5578855E-001, 1.0000000E+000
 2.7002147E+001, 9.1671939E-001, 9.1671939E-001, 1.0000000E+000
 2.8001622E+001, 9.5157049E-001, 9.5157049E-001, 1.0000000E+000
 2.9000785E+001, 1.0140054E+000, 1.0140054E+000, 1.0000000E+000
 3.0002299E+001, 1.0602857E+000, 1.0602857E+000, 1.0000000E+000
 3.1004229E+001, 1.1034302E+000, 1.1034302E+000, 1.0000000E+000
