s,m,,
Time,xT,x,flag val
 0.0000000E+000, 2.5000000E-002, 2.5000000E-002, 1.0000000E+000
 1.0079367E+000, 1.5933228E-001, 1.5933228E-001, 1.0000000E+000
 2.0007908E+000, 7.4498368E-002, 7.4498368E-002, 1.0000000E+000
 3.0030555E+000, 4.3089530E-002, 4.3089530E-002, 1.0000000E+000
 4.0012206E+000, 3.1643711E-002, 3.1643711E-002, 1.0000000E+000
 5.0013441E+000, 2.7437569E-002, 2.7437569E-002, 1.0000000E+000
 6.0037084E+000, 2.5892461E-002, 2.5892461E-002, 1.0000000E+000
 7.0048047E+000, 4.2170451E-002, 4.2170451E-002, 1.0000000E+000
 8.0029534E+000, 6.0033648E-002, 6.0033648E-002, 1.0000000E+000
 9.0045498E+000, 8.2561458E-002, 8.2561458E-002, 1.0000000E+000
 1.0000724E+001, 7.9150415E-002, 7.9150415E-002, 1.0000000E+000
 1.1003482E+001, 7.6518685E-002, 7.6518685E-002, 1.0000000E+000
 1.2003296E+001, 1.0556765E-001, 1.0556765E-001, 1.0000000E+000
 1.3004693E+001, 1.3395675E-001, 1.3395675E-001, 1.0000000E+000
 1.4001860E+001, 1.2544928E-001, 1.2544928E-001, 1.0000000E+000
 1.5000267E+001, 1.6065421E-001, 1.6065421E-001, 1.0000000E+000
 1.6003843E+001, 1.4885600E-001, 1.4885600E-001, 1.0000000E+000
 1.7000961E+001, 1.2813343E-001, 1.2813343E-001, 1.0000000E+000
 1.8005799E+001, 1.2436117E-001, 1.2436117E-001, 1.0000000E+000
 1.9000190E+001, 1.0779312E-001, 1.0779312E-001, 1.0000000E+000
 2.0002189E+001, 1.2286905E-001, 1.2286905E-001, 1.0000000E+000
 2.1003234E+001, 1.2999773E-001, 1.2999773E-001, 1.0000000E+000
 2.2003352E+001, 1.2439504E-001, 1.2439504E-001, 1.0000000E+000
 2.3000191E+001, 9.3163680E-002, 9.3163680E-002, 1.0000000E+000
 2.4005764E+001, 8.1620667E-002, 8.1620667E-002, 1.0000000E+000
 2.5005494E+001, 6.8295773E-002, 6.8295773E-002, 1.0000000E+000
 2.6003867E+001, 6.9806864E-002, 6.9806864E-002, 1.0000000E+000
 2.7007261E+001, 6.0262605E-002, 6.0262605E-002, 1.0000000E+000
 2.8005079E+001, 5.9656921E-002, 5.9656921E-002, 1.0000000E+000
 2.9000185E+001, 6.0605684E-002, 6.0605684E-002, 1.0000000E+000
 3.0006906E+001, 6.6473552E-002, 6.6473552E-002, 1.0000000E+000
 3.1004312E+001, 6.5709831E-002, 6.5709831E-002, 1.0000000E+000
