s,m,,
Time,xT,x,flag val
 0.0000000E+000, 2.5000000E-002, 2.5000000E-002, 1.0000000E+000
 1.0110428E+000, 6.3223153E-002, 6.3223153E-002, 1.0000000E+000
 2.0004607E+000, 3.9091838E-002, 3.9091838E-002, 1.0000000E+000
 3.0016334E+000, 3.0137839E-002, 3.0137839E-002, 1.0000000E+000
 4.0028061E+000, 2.8547815E-002, 2.8547815E-002, 1.0000000E+000
 5.0042754E+000, 2.6295432E-002, 2.6295432E-002, 1.0000000E+000
 6.0019764E+000, 2.5475960E-002, 2.5475960E-002, 1.0000000E+000
 7.0041626E+000, 4.8259310E-002, 4.8259310E-002, 1.0000000E+000
 8.0011377E+000, 6.5160317E-002, 6.5160317E-002, 1.0000000E+000
 9.0052319E+000, 1.0247185E-001, 1.0247185E-001, 1.0000000E+000
 1.0003750E+001, 1.1673067E-001, 1.1673067E-001, 1.0000000E+000
 1.1000216E+001, 1.3128147E-001, 1.3128147E-001, 1.0000000E+000
 1.2002332E+001, 1.6131017E-001, 1.6131017E-001, 1.0000000E+000
 1.3004854E+001, 2.0170360E-001, 2.0170360E-001, 1.0000000E+000
 1.4004182E+001, 2.4118687E-001, 2.4118687E-001, 1.0000000E+000
 1.5000845E+001, 2.7224524E-001, 2.7224524E-001, 1.0000000E+000
 1.6004820E+001, 3.0573277E-001, 3.0573277E-001, 1.0000000E+000
 1.7004504E+001, 3.4346511E-001, 3.4346511E-001, 1.0000000E+000
 1.8000060E+001, 3.7132274E-001, 3.7132274E-001, 1.0000000E+000
 1.9000064E+001, 4.0531506E-001, 4.0531506E-001, 1.0000000E+000
 2.0002351E+001, 4.4089738E-001, 4.4089738E-001, 1.0000000E+000
 2.1002701E+001, 4.6556874E-001, 4.6556874E-001, 1.0000000E+000
 2.2000099E+001, 5.0314591E-001, 5.0314591E-001, 1.0000000E+000
 2.3006534E+001, 5.3547430E-001, 5.3547430E-001, 1.0000000E+000
 2.4000160E+001, 5.6040818E-001, 5.6040818E-001, 1.0000000E+000
 2.5003962E+001, 5.9985750E-001, 5.9985750E-001, 1.0000000E+000
 2.6005461E+001, 6.2960403E-001, 6.2960403E-001, 1.0000000E+000
 2.7004089E+001, 6.5832555E-001, 6.5832555E-001, 1.0000000E+000
 2.8002860E+001, 6.9403664E-001, 6.9403664E-001, 1.0000000E+000
 2.9001623E+001, 7.1590843E-001, 7.1590843E-001, 1.0000000E+000
 3.0004921E+001, 7.5338984E-001, 7.5338984E-001, 1.0000000E+000
 3.1004538E+001, 7.7872171E-001, 7.7872171E-001, 1.0000000E+000
