s,m,,
Time,xT,x,flag val
 0.0000000E+000, 2.5000000E-002, 2.5000000E-002, 1.0000000E+000
 1.0110427E+000, 6.3223155E-002, 6.3223155E-002, 1.0000000E+000
 2.0005284E+000, 3.9090869E-002, 3.9090869E-002, 1.0000000E+000
 3.0020457E+000, 3.0135688E-002, 3.0135688E-002, 1.0000000E+000
 4.0035630E+000, 2.8647774E-002, 2.8647774E-002, 1.0000000E+000
 5.0021338E+000, 2.6335887E-002, 2.6335887E-002, 1.0000000E+000
 6.0073244E+000, 2.5487162E-002, 2.5487162E-002, 1.0000000E+000
 7.0060258E+000, 4.4051570E-002, 4.4051570E-002, 1.0000000E+000
 8.0043205E+000, 6.3630678E-002, 6.3630678E-002, 1.0000000E+000
 9.0057058E+000, 9.8341823E-002, 9.8341823E-002, 1.0000000E+000
 1.0002952E+001, 1.1520248E-001, 1.1520248E-001, 1.0000000E+000
 1.1005337E+001, 1.2749102E-001, 1.2749102E-001, 1.0000000E+000
 1.2003328E+001, 1.5754565E-001, 1.5754565E-001, 1.0000000E+000
 1.3000855E+001, 1.9932387E-001, 1.9932387E-001, 1.0000000E+000
 1.4004263E+001, 2.3695826E-001, 2.3695826E-001, 1.0000000E+000
 1.5004605E+001, 2.6430474E-001, 2.6430474E-001, 1.0000000E+000
 1.6002584E+001, 3.0269734E-001, 3.0269734E-001, 1.0000000E+000
 1.7000204E+001, 3.3828919E-001, 3.3828919E-001, 1.0000000E+000
 1.8005185E+001, 3.6160447E-001, 3.6160447E-001, 1.0000000E+000
 1.9000674E+001, 4.0150600E-001, 4.0150600E-001, 1.0000000E+000
 2.0005690E+001, 4.3393817E-001, 4.3393817E-001, 1.0000000E+000
 2.1005115E+001, 4.5992789E-001, 4.5992789E-001, 1.0000000E+000
 2.2005207E+001, 4.9766554E-001, 4.9766554E-001, 1.0000000E+000
 2.3004085E+001, 5.2280731E-001, 5.2280731E-001, 1.0000000E+000
 2.4003511E+001, 5.5584018E-001, 5.5584018E-001, 1.0000000E+000
 2.5000996E+001, 5.9076336E-001, 5.9076336E-001, 1.0000000E+000
 2.6000144E+001, 6.1243171E-001, 6.1243171E-001, 1.0000000E+000
 2.7004286E+001, 6.5130578E-001, 6.5130578E-001, 1.0000000E+000
 2.8004311E+001, 6.8313401E-001, 6.8313401E-001, 1.0000000E+000
 2.9003921E+001, 7.0963590E-001, 7.0963590E-001, 1.0000000E+000
 3.0002188E+001, 7.4637145E-001, 7.4637145E-001, 1.0000000E+000
 3.1001733E+001, 7.7492337E-001, 7.7492337E-001, 1.0000000E+000
