s,m,,
Time,xT,x,flag val
 0.0000000E+000, 2.5000000E-002, 2.5000000E-002, 1.0000000E+000
 1.0110427E+000, 6.3241446E-002, 6.3241446E-002, 1.0000000E+000
 2.0005076E+000, 3.9097907E-002, 3.9097907E-002, 1.0000000E+000
 3.0017644E+000, 3.0139613E-002, 3.0139613E-002, 1.0000000E+000
 4.0030212E+000, 2.6873727E-002, 2.6873727E-002, 1.0000000E+000
 5.0001532E+000, 2.5687135E-002, 2.5687135E-002, 1.0000000E+000
 6.0002441E+000, 2.5251844E-002, 2.5251844E-002, 1.0000000E+000
 7.0019388E+000, 3.2391892E-002, 3.2391892E-002, 1.0000000E+000
 8.0010757E+000, 5.9357752E-002, 5.9357752E-002, 1.0000000E+000
 9.0066047E+000, 8.8388837E-002, 8.8388837E-002, 1.0000000E+000
 1.0001399E+001, 1.1150881E-001, 1.1150881E-001, 1.0000000E+000
 1.1005258E+001, 1.2310970E-001, 1.2310970E-001, 1.0000000E+000
 1.2002159E+001, 1.5591553E-001, 1.5591553E-001, 1.0000000E+000
 1.3002560E+001, 1.9508911E-001, 1.9508911E-001, 1.0000000E+000
 1.4002315E+001, 2.2780722E-001, 2.2780722E-001, 1.0000000E+000
 1.5001730E+001, 2.5768484E-001, 2.5768484E-001, 1.0000000E+000
 1.6000332E+001, 2.9572178E-001, 2.9572178E-001, 1.0000000E+000
 1.7002770E+001, 3.2211588E-001, 3.2211588E-001, 1.0000000E+000
 1.8004506E+001, 3.5563691E-001, 3.5563691E-001, 1.0000000E+000
 1.9000070E+001, 3.9058966E-001, 3.9058966E-001, 1.0000000E+000
 2.0005876E+001, 4.1245474E-001, 4.1245474E-001, 1.0000000E+000
 2.1000781E+001, 4.5141264E-001, 4.5141264E-001, 1.0000000E+000
 2.2000082E+001, 4.7872924E-001, 4.7872924E-001, 1.0000000E+000
 2.3005960E+001, 5.0813040E-001, 5.0813040E-001, 1.0000000E+000
 2.4002767E+001, 5.4313430E-001, 5.4313430E-001, 1.0000000E+000
 2.5001293E+001, 5.6521743E-001, 5.6521743E-001, 1.0000000E+000
 2.6005720E+001, 6.0317623E-001, 6.0317623E-001, 1.0000000E+000
 2.7001649E+001, 6.3068031E-001, 6.3068031E-001, 1.0000000E+000
 2.8004819E+001, 6.5879293E-001, 6.5879293E-001, 1.0000000E+000
 2.9003517E+001, 6.9477009E-001, 6.9477009E-001, 1.0000000E+000
 3.0002256E+001, 7.1882861E-001, 7.1882861E-001, 1.0000000E+000
 3.1002862E+001, 7.5440577E-001, 7.5440577E-001, 1.0000000E+000
