s,m,,
Time,xT,x,flag val
 0.0000000E+000, 2.5000000E-002, 2.5000000E-002, 1.0000000E+000
 1.0211230E+000, 7.3442753E-002, 7.3442753E-002, 1.0000000E+000
 2.0138743E+000, 4.2732212E-002, 4.2732212E-002, 1.0000000E+000
 3.0078461E+000, 3.1495591E-002, 3.1495591E-002, 1.0000000E+000
 4.0083941E+000, 2.7368791E-002, 2.7368791E-002, 1.0000000E+000
 5.0040548E+000, 2.5869236E-002, 2.5869236E-002, 1.0000000E+000
 6.0068534E+000, 2.5317338E-002, 2.5317338E-002, 1.0000000E+000
 7.0036221E+000, 2.5116707E-002, 2.5116707E-002, 1.0000000E+000
 8.0020727E+000, 5.4326546E-002, 5.4326546E-002, 1.0000000E+000
 9.0065242E+000, 6.7453593E-002, 6.7453593E-002, 1.0000000E+000
 1.0001416E+001, 9.3713583E-002, 9.3713583E-002, 1.0000000E+000
 1.1004895E+001, 1.1356522E-001, 1.1356522E-001, 1.0000000E+000
 1.2002038E+001, 1.4534329E-001, 1.4534329E-001, 1.0000000E+000
 1.3006803E+001, 1.7433598E-001, 1.7433598E-001, 1.0000000E+000
 1.4005116E+001, 2.0638971E-001, 2.0638971E-001, 1.0000000E+000
 1.5004346E+001, 2.4214235E-001, 2.4214235E-001, 1.0000000E+000
 1.6001617E+001, 2.6503926E-001, 2.6503926E-001, 1.0000000E+000
 1.7005327E+001, 3.0308785E-001, 3.0308785E-001, 1.0000000E+000
 1.8000679E+001, 3.3472906E-001, 3.3472906E-001, 1.0000000E+000
 1.9001219E+001, 3.6023608E-001, 3.6023608E-001, 1.0000000E+000
 2.0004014E+001, 3.9798893E-001, 3.9798893E-001, 1.0000000E+000
 2.1002235E+001, 4.2683753E-001, 4.2683753E-001, 1.0000000E+000
 2.2002960E+001, 4.5734818E-001, 4.5734818E-001, 1.0000000E+000
 2.3001399E+001, 4.9382980E-001, 4.9382980E-001, 1.0000000E+000
 2.4005732E+001, 5.1658141E-001, 5.1658141E-001, 1.0000000E+000
 2.5002633E+001, 5.5350818E-001, 5.5350818E-001, 1.0000000E+000
 2.6005862E+001, 5.8559505E-001, 5.8559505E-001, 1.0000000E+000
 2.7002623E+001, 6.1050260E-001, 6.1050260E-001, 1.0000000E+000
 2.8000259E+001, 6.4913700E-001, 6.4913700E-001, 1.0000000E+000
 2.9005175E+001, 6.7969869E-001, 6.7969869E-001, 1.0000000E+000
 3.0002821E+001, 7.0834890E-001, 7.0834890E-001, 1.0000000E+000
 3.1002935E+001, 7.4591644E-001, 7.4591644E-001, 1.0000000E+000
