s,m,,
Time,xT,x,flag val
 0.0000000E+000, 2.5000000E-002, 2.5000000E-002, 1.0000000E+000
 1.0056073E+000, 7.9611083E-002, 7.9611083E-002, 1.0000000E+000
 2.0019413E+000, 7.5368911E-002, 7.5368911E-002, 1.0000000E+000
 3.0081297E+000, 8.1303920E-002, 8.1303920E-002, 1.0000000E+000
 4.0010166E+000, 8.2454285E-002, 8.2454285E-002, 1.0000000E+000
 5.0063434E+000, 1.1895589E-001, 1.1895589E-001, 1.0000000E+000
 6.0010470E+000, 1.8090661E-001, 1.8090661E-001, 1.0000000E+000
 7.0034777E+000, 1.7180991E-001, 1.7180991E-001, 1.0000000E+000
 8.0023782E+000, 2.1002403E-001, 2.1002403E-001, 1.0000000E+000
 9.0024020E+000, 2.9271663E-001, 2.9271663E-001, 1.0000000E+000
 1.0003667E+001, 4.3337540E-001, 4.3337540E-001, 1.0000000E+000
 1.1000026E+001, 5.9465689E-001, 5.9465689E-001, 1.0000000E+000
 1.2004299E+001, 7.5918608E-001, 7.5918608E-001, 1.0000000E+000
 1.3001464E+001, 9.3866525E-001, 9.3866525E-001, 1.0000000E+000
 1.4000721E+001, 1.1681950E+000, 1.1681950E+000, 1.0000000E+000
 1.5001857E+001, 1.3608138E+000, 1.3608138E+000, 1.0000000E+000
 1.6002997E+001, 1.6480794E+000, 1.6480794E+000, 1.0000000E+000
 1.7002205E+001, 1.8836361E+000, 1.8836361E+000, 1.0000000E+000
 1.8001084E+001, 2.0176318E+000, 2.0176318E+000, 1.0000000E+000
 1.9001818E+001, 2.0570950E+000, 2.0570950E+000, 1.0000000E+000
 2.0003562E+001, 2.2708063E+000, 2.2708063E+000, 1.0000000E+000
 2.1003084E+001, 2.5004032E+000, 2.5004032E+000, 1.0000000E+000
 2.2001870E+001, 2.8112986E+000, 2.8112986E+000, 1.0000000E+000
 2.3001064E+001, 3.0588355E+000, 3.0588355E+000, 1.0000000E+000
 2.4001421E+001, 3.2263433E+000, 3.2263433E+000, 1.0000000E+000
 2.5000508E+001, 3.3743086E+000, 3.3743086E+000, 1.0000000E+000
 2.6001372E+001, 3.7013760E+000, 3.7013760E+000, 1.0000000E+000
 2.7000789E+001, 3.9260086E+000, 3.9260086E+000, 1.0000000E+000
 2.8003848E+001, 4.0379134E+000, 4.0379134E+000, 1.0000000E+000
 2.9000553E+001, 4.2465750E+000, 4.2465750E+000, 1.0000000E+000
 3.0002153E+001, 4.2864825E+000, 4.2864825E+000, 1.0000000E+000
 3.1001892E+001, 4.4476214E+000, 4.4476214E+000, 1.0000000E+000
 3.2000520E+001, 4.6545676E+000, 4.6545676E+000, 1.0000000E+000
 3.3000028E+001, 4.8800022E+000, 4.8800022E+000, 1.0000000E+000
 3.4004013E+001, 4.9834270E+000, 4.9834270E+000, 1.0000000E+000
 3.5000243E+001, 4.9420383E+000, 4.9420383E+000, 1.0000000E+000
 3.6000207E+001, 5.1454847E+000, 5.1454847E+000, 1.0000000E+000
 3.7002387E+001, 5.4462361E+000, 5.4462361E+000, 1.0000000E+000
 3.8003063E+001, 5.6710240E+000, 5.6710240E+000, 1.0000000E+000
 3.9001751E+001, 5.9557157E+000, 5.9557157E+000, 1.0000000E+000
 4.0001504E+001, 6.2342346E+000, 6.2342346E+000, 1.0000000E+000
 4.1003233E+001, 6.2685097E+000, 6.2685097E+000, 1.0000000E+000
 4.2003581E+001, 6.5919614E+000, 6.5919614E+000, 1.0000000E+000
 4.3002244E+001, 6.8078875E+000, 6.8078875E+000, 1.0000000E+000
 4.4001357E+001, 7.0690594E+000, 7.0690594E+000, 1.0000000E+000
 4.5001349E+001, 7.2060043E+000, 7.2060043E+000, 1.0000000E+000
 4.6001371E+001, 7.3753697E+000, 7.3753697E+000, 1.0000000E+000
 4.7000503E+001, 7.5728792E+000, 7.5728792E+000, 1.0000000E+000
 4.8002952E+001, 7.5983543E+000, 7.5983543E+000, 1.0000000E+000
 4.9001502E+001, 7.7641195E+000, 7.7641195E+000, 1.0000000E+000
 5.0000000E+001, 7.7822317E+000, 7.7822317E+000, 1.0000000E+000
