s,m,,
Time,xT,x,flag val
 0.0000000E+000, 2.5000000E-002, 2.5000000E-002, 1.0000000E+000
 1.0104838E+000, 1.0525050E-001, 1.0525050E-001, 1.0000000E+000
 2.0064194E+000, 1.0630425E-001, 1.0630425E-001, 1.0000000E+000
 3.0069514E+000, 1.2465129E-001, 1.2465129E-001, 1.0000000E+000
 4.0055212E+000, 1.8334062E-001, 1.8334062E-001, 1.0000000E+000
 5.0048402E+000, 2.5436629E-001, 2.5436629E-001, 1.0000000E+000
 6.0037451E+000, 4.9638962E-001, 4.9638962E-001, 1.0000000E+000
 7.0001227E+000, 7.1831484E-001, 7.1831484E-001, 1.0000000E+000
 8.0006341E+000, 9.2565717E-001, 9.2565717E-001, 1.0000000E+000
 9.0057673E+000, 1.1408141E+000, 1.1408141E+000, 1.0000000E+000
 1.0005724E+001, 1.2713406E+000, 1.2713406E+000, 1.0000000E+000
 1.1004622E+001, 1.5787214E+000, 1.5787214E+000, 1.0000000E+000
 1.2001141E+001, 1.8515473E+000, 1.8515473E+000, 1.0000000E+000
 1.3000498E+001, 2.0940732E+000, 2.0940732E+000, 1.0000000E+000
 1.4000030E+001, 2.3279943E+000, 2.3279943E+000, 1.0000000E+000
 1.5006258E+001, 2.5602403E+000, 2.5602403E+000, 1.0000000E+000
 1.6006683E+001, 2.8005064E+000, 2.8005064E+000, 1.0000000E+000
 1.7004590E+001, 3.0466155E+000, 3.0466155E+000, 1.0000000E+000
 1.8001471E+001, 3.2933341E+000, 3.2933341E+000, 1.0000000E+000
 1.9001294E+001, 3.5580139E+000, 3.5580139E+000, 1.0000000E+000
 2.0004829E+001, 3.8302118E+000, 3.8302118E+000, 1.0000000E+000
 2.1002987E+001, 4.0987316E+000, 4.0987316E+000, 1.0000000E+000
 2.2004032E+001, 4.3731981E+000, 4.3731981E+000, 1.0000000E+000
 2.3006764E+001, 4.6417369E+000, 4.6417369E+000, 1.0000000E+000
 2.4001026E+001, 4.9182510E+000, 4.9182510E+000, 1.0000000E+000
 2.5002442E+001, 5.1937849E+000, 5.1937849E+000, 1.0000000E+000
 2.6001621E+001, 5.4529912E+000, 5.4529912E+000, 1.0000000E+000
 2.7004780E+001, 5.7334240E+000, 5.7334240E+000, 1.0000000E+000
 2.8000709E+001, 5.9992567E+000, 5.9992567E+000, 1.0000000E+000
 2.9005204E+001, 6.2644613E+000, 6.2644613E+000, 1.0000000E+000
 3.0004098E+001, 6.5364795E+000, 6.5364795E+000, 1.0000000E+000
 3.1003122E+001, 6.8075665E+000, 6.8075665E+000, 1.0000000E+000
 3.2002435E+001, 7.0964074E+000, 7.0964074E+000, 1.0000000E+000
 3.3000026E+001, 7.3693238E+000, 7.3693238E+000, 1.0000000E+000
 3.4002910E+001, 7.6209583E+000, 7.6209583E+000, 1.0000000E+000
