s,m,,
Time,xT,x,flag val
 0.0000000E+000, 2.5000000E-002, 2.5000000E-002, 1.0000000E+000
 1.0025975E+000, 6.7405850E-002, 6.7405850E-002, 1.0000000E+000
 2.0050281E+000, 7.1557643E-002, 7.1557643E-002, 1.0000000E+000
 3.0037448E+000, 6.3742939E-002, 6.3742939E-002, 1.0000000E+000
 4.0069240E+000, 7.0744986E-002, 7.0744986E-002, 1.0000000E+000
 5.0003165E+000, 6.4607891E-002, 6.4607891E-002, 1.0000000E+000
 6.0056249E+000, 4.6519237E-002, 4.6519237E-002, 1.0000000E+000
 7.0036355E+000, 6.6549510E-002, 6.6549510E-002, 1.0000000E+000
 8.0035394E+000, 1.0354994E-001, 1.0354994E-001, 1.0000000E+000
 9.0042562E+000, 1.1713840E-001, 1.1713840E-001, 1.0000000E+000
 1.0000142E+001, 1.5345231E-001, 1.5345231E-001, 1.0000000E+000
 1.1001772E+001, 1.6779858E-001, 1.6779858E-001, 1.0000000E+000
 1.2004124E+001, 2.0407743E-001, 2.0407743E-001, 1.0000000E+000
 1.3005899E+001, 2.4789375E-001, 2.4789375E-001, 1.0000000E+000
 1.4000962E+001, 2.9163930E-001, 2.9163930E-001, 1.0000000E+000
 1.5004091E+001, 3.3150452E-001, 3.3150452E-001, 1.0000000E+000
 1.6001471E+001, 3.6325329E-001, 3.6325329E-001, 1.0000000E+000
 1.7004473E+001, 4.0231010E-001, 4.0231010E-001, 1.0000000E+000
 1.8003514E+001, 4.3756473E-001, 4.3756473E-001, 1.0000000E+000
 1.9000488E+001, 4.6455126E-001, 4.6455126E-001, 1.0000000E+000
 2.0003570E+001, 5.0186683E-001, 5.0186683E-001, 1.0000000E+000
 2.1000408E+001, 5.3135400E-001, 5.3135400E-001, 1.0000000E+000
 2.2002117E+001, 5.6217880E-001, 5.6217880E-001, 1.0000000E+000
 2.3000174E+001, 5.9666893E-001, 5.9666893E-001, 1.0000000E+000
 2.4002176E+001, 6.2909661E-001, 6.2909661E-001, 1.0000000E+000
 2.5002406E+001, 6.5816041E-001, 6.5816041E-001, 1.0000000E+000
 2.6003114E+001, 6.9621614E-001, 6.9621614E-001, 1.0000000E+000
 2.7003378E+001, 7.1998422E-001, 7.1998422E-001, 1.0000000E+000
 2.8002400E+001, 7.5478695E-001, 7.5478695E-001, 1.0000000E+000
 2.9004033E+001, 7.8335863E-001, 7.8335863E-001, 1.0000000E+000
 3.0003119E+001, 8.0870795E-001, 8.0870795E-001, 1.0000000E+000
 3.1000931E+001, 8.4552591E-001, 8.4552591E-001, 1.0000000E+000
