s,m,,
Time,xT,x,flag val
 0.0000000E+000, 2.5000000E-002, 2.5000000E-002, 1.0000000E+000
 1.0111727E+000, 1.0285342E-001, 1.0285342E-001, 1.0000000E+000
 2.0061416E+000, 8.5211049E-002, 8.5211049E-002, 1.0000000E+000
 3.0076365E+000, 8.0578142E-002, 8.0578142E-002, 1.0000000E+000
 4.0026853E+000, 1.0608218E-001, 1.0608218E-001, 1.0000000E+000
 5.0022598E+000, 1.2217659E-001, 1.2217659E-001, 1.0000000E+000
 6.0036095E+000, 2.1240613E-001, 2.1240613E-001, 1.0000000E+000
 7.0029900E+000, 2.7973042E-001, 2.7973042E-001, 1.0000000E+000
 8.0018423E+000, 2.9803317E-001, 2.9803317E-001, 1.0000000E+000
 9.0051642E+000, 4.3706676E-001, 4.3706676E-001, 1.0000000E+000
 1.0005400E+001, 5.9455902E-001, 5.9455902E-001, 1.0000000E+000
 1.1002853E+001, 6.8544418E-001, 6.8544418E-001, 1.0000000E+000
 1.2002477E+001, 8.3491622E-001, 8.3491622E-001, 1.0000000E+000
 1.3005204E+001, 9.9076958E-001, 9.9076958E-001, 1.0000000E+000
 1.4005389E+001, 1.1749149E+000, 1.1749149E+000, 1.0000000E+000
 1.5000737E+001, 1.3389984E+000, 1.3389984E+000, 1.0000000E+000
 1.6005964E+001, 1.5115657E+000, 1.5115657E+000, 1.0000000E+000
 1.7002961E+001, 1.6741285E+000, 1.6741285E+000, 1.0000000E+000
 1.8001417E+001, 1.8219544E+000, 1.8219544E+000, 1.0000000E+000
 1.9004580E+001, 1.9746673E+000, 1.9746673E+000, 1.0000000E+000
 2.0004150E+001, 2.1359362E+000, 2.1359362E+000, 1.0000000E+000
 2.1001970E+001, 2.2805906E+000, 2.2805906E+000, 1.0000000E+000
 2.2005550E+001, 2.4559783E+000, 2.4559783E+000, 1.0000000E+000
 2.3004049E+001, 2.6233963E+000, 2.6233963E+000, 1.0000000E+000
 2.4004947E+001, 2.7930456E+000, 2.7930456E+000, 1.0000000E+000
 2.5004575E+001, 2.9571318E+000, 2.9571318E+000, 1.0000000E+000
 2.6002249E+001, 3.1107908E+000, 3.1107908E+000, 1.0000000E+000
 2.7004913E+001, 3.2345542E+000, 3.2345542E+000, 1.0000000E+000
 2.8002915E+001, 3.3699324E+000, 3.3699324E+000, 1.0000000E+000
 2.9004490E+001, 3.5536127E+000, 3.5536127E+000, 1.0000000E+000
 3.0003415E+001, 3.6897024E+000, 3.6897024E+000, 1.0000000E+000
 3.1000843E+001, 3.8225243E+000, 3.8225243E+000, 1.0000000E+000
 3.2005795E+001, 3.9587395E+000, 3.9587395E+000, 1.0000000E+000
 3.3002806E+001, 4.0952227E+000, 4.0952227E+000, 1.0000000E+000
 3.4002073E+001, 4.2421092E+000, 4.2421092E+000, 1.0000000E+000
 3.5002222E+001, 4.3634025E+000, 4.3634025E+000, 1.0000000E+000
 3.6003285E+001, 4.5145087E+000, 4.5145087E+000, 1.0000000E+000
 3.7000406E+001, 4.6719776E+000, 4.6719776E+000, 1.0000000E+000
 3.8001374E+001, 4.8009062E+000, 4.8009062E+000, 1.0000000E+000
 3.9004783E+001, 4.9556998E+000, 4.9556998E+000, 1.0000000E+000
 4.0002826E+001, 5.1215074E+000, 5.1215074E+000, 1.0000000E+000
 4.1002154E+001, 5.3316577E+000, 5.3316577E+000, 1.0000000E+000
 4.2002369E+001, 5.4800286E+000, 5.4800286E+000, 1.0000000E+000
 4.3003399E+001, 5.6488313E+000, 5.6488313E+000, 1.0000000E+000
 4.4005090E+001, 5.7873393E+000, 5.7873393E+000, 1.0000000E+000
 4.5002429E+001, 5.9539826E+000, 5.9539826E+000, 1.0000000E+000
 4.6000111E+001, 6.1346864E+000, 6.1346864E+000, 1.0000000E+000
 4.7004654E+001, 6.3238668E+000, 6.3238668E+000, 1.0000000E+000
 4.8000461E+001, 6.4546314E+000, 6.4546314E+000, 1.0000000E+000
 4.9000652E+001, 6.5938443E+000, 6.5938443E+000, 1.0000000E+000
 5.0001346E+001, 6.7126805E+000, 6.7126805E+000, 1.0000000E+000
 5.1000923E+001, 6.8918027E+000, 6.8918027E+000, 1.0000000E+000
 5.2001545E+001, 7.0334590E+000, 7.0334590E+000, 1.0000000E+000
 5.3000337E+001, 7.1822154E+000, 7.1822154E+000, 1.0000000E+000
 5.4001959E+001, 7.3326722E+000, 7.3326722E+000, 1.0000000E+000
 5.5003970E+001, 7.4905481E+000, 7.4905481E+000, 1.0000000E+000
 5.6003387E+001, 7.6480123E+000, 7.6480123E+000, 1.0000000E+000
 5.7005870E+001, 7.7789659E+000, 7.7789659E+000, 1.0000000E+000
