s,m,,
Time,xT,x,flag val
 0.0000000E+000, 2.5000000E-002, 2.5000000E-002, 1.0000000E+000
 1.0145789E+000, 1.5837640E-001, 1.5837640E-001, 1.0000000E+000
 2.0070248E+000, 7.4186499E-002, 7.4186499E-002, 1.0000000E+000
 3.0039624E+000, 4.3082440E-002, 4.3082440E-002, 1.0000000E+000
 4.0006701E+000, 3.1654871E-002, 3.1654871E-002, 1.0000000E+000
 5.0055717E+000, 5.6475620E-002, 5.6475620E-002, 1.0000000E+000
 6.0011602E+000, 6.0257729E-002, 6.0257729E-002, 1.0000000E+000
 7.0029130E+000, 8.1436405E-002, 8.1436405E-002, 1.0000000E+000
 8.0001813E+000, 8.0608280E-002, 8.0608280E-002, 1.0000000E+000
 9.0052213E+000, 1.0083415E-001, 1.0083415E-001, 1.0000000E+000
 1.0002589E+001, 1.0739969E-001, 1.0739969E-001, 1.0000000E+000
 1.1000838E+001, 9.5077699E-002, 9.5077699E-002, 1.0000000E+000
 1.2003299E+001, 9.5920896E-002, 9.5920896E-002, 1.0000000E+000
 1.3005413E+001, 8.7554224E-002, 8.7554224E-002, 1.0000000E+000
 1.4004731E+001, 7.8094638E-002, 7.8094638E-002, 1.0000000E+000
 1.5000635E+001, 7.7346518E-002, 7.7346518E-002, 1.0000000E+000
 1.6002811E+001, 7.5857856E-002, 7.5857856E-002, 1.0000000E+000
 1.7001947E+001, 7.0970220E-002, 7.0970220E-002, 1.0000000E+000
 1.8006127E+001, 5.7424909E-002, 5.7424909E-002, 1.0000000E+000
 1.9001745E+001, 5.7752217E-002, 5.7752217E-002, 1.0000000E+000
 2.0004259E+001, 6.0752327E-002, 6.0752327E-002, 1.0000000E+000
 2.1006670E+001, 6.5244694E-002, 6.5244694E-002, 1.0000000E+000
 2.2002982E+001, 6.5700945E-002, 6.5700945E-002, 1.0000000E+000
 2.3006863E+001, 6.1959226E-002, 6.1959226E-002, 1.0000000E+000
 2.4007388E+001, 5.3351317E-002, 5.3351317E-002, 1.0000000E+000
 2.5007187E+001, 6.6596693E-002, 6.6596693E-002, 1.0000000E+000
 2.6005780E+001, 6.7979969E-002, 6.7979969E-002, 1.0000000E+000
 2.7006900E+001, 6.0908177E-002, 6.0908177E-002, 1.0000000E+000
 2.8000214E+001, 6.7667948E-002, 6.7667948E-002, 1.0000000E+000
 2.9004222E+001, 6.1592675E-002, 6.1592675E-002, 1.0000000E+000
 3.0004468E+001, 4.9455615E-002, 4.9455615E-002, 1.0000000E+000
 3.1006660E+001, 5.6006722E-002, 5.6006722E-002, 1.0000000E+000
