s,m,,
Time,xT,x,flag val
 0.0000000E+000, 2.5000000E-002, 2.5000000E-002, 1.0000000E+000
 1.0042823E+000, 1.6709583E-001, 1.6709583E-001, 1.0000000E+000
 2.0042611E+000, 7.7005480E-002, 7.7005480E-002, 1.0000000E+000
 3.0022245E+000, 4.4085725E-002, 4.4085725E-002, 1.0000000E+000
 4.0019001E+000, 3.1996067E-002, 3.1996067E-002, 1.0000000E+000
 5.0028017E+000, 2.7560436E-002, 2.7560436E-002, 1.0000000E+000
 6.0051630E+000, 2.5935982E-002, 2.5935982E-002, 1.0000000E+000
 7.0022056E+000, 2.5344106E-002, 2.5344106E-002, 1.0000000E+000
 8.0053249E+000, 2.5125789E-002, 2.5125789E-002, 1.0000000E+000
 9.0038099E+000, 2.5046206E-002, 2.5046206E-002, 1.0000000E+000
 1.0002579E+001, 2.5016969E-002, 2.5016969E-002, 1.0000000E+000
 1.1000967E+001, 2.5006234E-002, 2.5006234E-002, 1.0000000E+000
 1.2005070E+001, 2.5002277E-002, 2.5002277E-002, 1.0000000E+000
 1.3001708E+001, 2.5000838E-002, 2.5000838E-002, 1.0000000E+000
 1.4003679E+001, 2.5000307E-002, 2.5000307E-002, 1.0000000E+000
 1.5003931E+001, 2.9584923E-002, 2.9584923E-002, 1.0000000E+000
 1.6005161E+001, 4.1353559E-002, 4.1353559E-002, 1.0000000E+000
 1.7000005E+001, 5.1758069E-002, 5.1758069E-002, 1.0000000E+000
 1.8004829E+001, 4.5796128E-002, 4.5796128E-002, 1.0000000E+000
 1.9001390E+001, 4.5186245E-002, 4.5186245E-002, 1.0000000E+000
 2.0004101E+001, 4.5927229E-002, 4.5927229E-002, 1.0000000E+000
 2.1005655E+001, 5.8283983E-002, 5.8283983E-002, 1.0000000E+000
 2.2002600E+001, 6.0792728E-002, 6.0792728E-002, 1.0000000E+000
 2.3004286E+001, 6.3716162E-002, 6.3716162E-002, 1.0000000E+000
 2.4000367E+001, 6.6191417E-002, 6.6191417E-002, 1.0000000E+000
 2.5002741E+001, 6.8467989E-002, 6.8467989E-002, 1.0000000E+000
 2.6005662E+001, 7.2611576E-002, 7.2611576E-002, 1.0000000E+000
 2.7005453E+001, 7.4123807E-002, 7.4123807E-002, 1.0000000E+000
 2.8000767E+001, 7.4677150E-002, 7.4677150E-002, 1.0000000E+000
 2.9001847E+001, 7.4881782E-002, 7.4881782E-002, 1.0000000E+000
 3.0003362E+001, 7.4956713E-002, 7.4956713E-002, 1.0000000E+000
 3.1004804E+001, 7.4984145E-002, 7.4984145E-002, 1.0000000E+000
