s,m,,
Time,xT,x,flag val
 0.0000000E+000, 2.5000000E-002, 2.5000000E-002, 1.0000000E+000
 1.0005375E+000, 1.6768823E-001, 1.6768823E-001, 1.0000000E+000
 2.0044462E+000, 7.7028940E-002, 7.7028940E-002, 1.0000000E+000
 3.0073800E+000, 4.4003103E-002, 4.4003103E-002, 1.0000000E+000
 4.0038762E+000, 3.1986364E-002, 3.1986364E-002, 1.0000000E+000
 5.0073320E+000, 2.7550727E-002, 2.7550727E-002, 1.0000000E+000
 6.0064433E+000, 2.5935943E-002, 2.5935943E-002, 1.0000000E+000
 7.0050103E+000, 2.5343713E-002, 2.5343713E-002, 1.0000000E+000
 8.0032729E+000, 2.5126224E-002, 2.5126224E-002, 1.0000000E+000
 9.0069917E+000, 2.8718064E-002, 2.8718064E-002, 1.0000000E+000
 1.0001734E+001, 2.9802474E-002, 2.9802474E-002, 1.0000000E+000
 1.1000148E+001, 4.2338342E-002, 4.2338342E-002, 1.0000000E+000
 1.2006846E+001, 6.3112515E-002, 6.3112515E-002, 1.0000000E+000
 1.3002413E+001, 8.2052536E-002, 8.2052536E-002, 1.0000000E+000
 1.4004917E+001, 1.0930957E-001, 1.0930957E-001, 1.0000000E+000
 1.5008477E+001, 1.1928193E-001, 1.1928193E-001, 1.0000000E+000
 1.6009988E+001, 1.2291223E-001, 1.2291223E-001, 1.0000000E+000
 1.7009725E+001, 1.2423595E-001, 1.2423595E-001, 1.0000000E+000
 1.8003391E+001, 1.2471875E-001, 1.2471875E-001, 1.0000000E+000
 1.9004049E+001, 1.2489727E-001, 1.2489727E-001, 1.0000000E+000
 2.0011550E+001, 1.2496277E-001, 1.2496277E-001, 1.0000000E+000
 2.1010356E+001, 1.2498639E-001, 1.2498639E-001, 1.0000000E+000
 2.2016411E+001, 1.2499507E-001, 1.2499507E-001, 1.0000000E+000
 2.3000394E+001, 1.2499817E-001, 0.0000000E+000, 0.0000000E+000
 2.4001185E+001, 1.4747800E-001, 0.0000000E+000, 0.0000000E+000
 2.5017104E+001, 1.6514855E-001, 0.0000000E+000, 0.0000000E+000
 2.6019162E+001, 1.7143053E-001, 0.0000000E+000, 0.0000000E+000
 2.7013411E+001, 1.7369776E-001, 0.0000000E+000, 0.0000000E+000
 2.8029604E+001, 1.7453659E-001, 0.0000000E+000, 0.0000000E+000
 2.9013016E+001, 1.7482950E-001, 0.0000000E+000, 0.0000000E+000
 3.0029209E+001, 1.7493933E-001, 0.0000000E+000, 0.0000000E+000
 3.1012622E+001, 1.7497768E-001, 0.0000000E+000, 0.0000000E+000
