s,m,,
Time,xT,x,flag val
 0.0000000E+000, 2.5000000E-002, 2.5000000E-002, 1.0000000E+000
 1.0208873E+000, 1.0783606E-001, 1.0783606E-001, 1.0000000E+000
 2.0123575E+000, 7.2473656E-002, 7.2473656E-002, 1.0000000E+000
 3.0034503E+000, 7.3608174E-002, 7.3608174E-002, 1.0000000E+000
 4.0024080E+000, 8.1430924E-002, 8.1430924E-002, 1.0000000E+000
 5.0027907E+000, 7.5347350E-002, 7.5347350E-002, 1.0000000E+000
 6.0034974E+000, 9.3008352E-002, 9.3008352E-002, 1.0000000E+000
 7.0041039E+000, 7.9669340E-002, 7.9669340E-002, 1.0000000E+000
 8.0024946E+000, 7.6715277E-002, 7.6715277E-002, 1.0000000E+000
 9.0066993E+000, 7.7431121E-002, 7.7431121E-002, 1.0000000E+000
 1.0003324E+001, 8.8259812E-002, 8.8259812E-002, 1.0000000E+000
 1.1000422E+001, 1.0806793E-001, 1.0806793E-001, 1.0000000E+000
 1.2002704E+001, 1.4967381E-001, 1.4967381E-001, 1.0000000E+000
 1.3000833E+001, 2.4192550E-001, 2.4192550E-001, 1.0000000E+000
 1.4000713E+001, 3.9025258E-001, 3.9025258E-001, 1.0000000E+000
 1.5001253E+001, 4.5980643E-001, 4.5980643E-001, 1.0000000E+000
 1.6002500E+001, 5.6477305E-001, 5.6477305E-001, 1.0000000E+000
 1.7002921E+001, 6.7233427E-001, 6.7233427E-001, 1.0000000E+000
 1.8000728E+001, 7.6377597E-001, 7.6377597E-001, 1.0000000E+000
 1.9003768E+001, 8.5240579E-001, 8.5240579E-001, 1.0000000E+000
 2.0002733E+001, 9.5060988E-001, 9.5060988E-001, 1.0000000E+000
 2.1003985E+001, 1.0348969E+000, 1.0348969E+000, 1.0000000E+000
 2.2001462E+001, 1.1206301E+000, 1.1206301E+000, 1.0000000E+000
 2.3002118E+001, 1.2017961E+000, 1.2017961E+000, 1.0000000E+000
 2.4004926E+001, 1.2776248E+000, 1.2776248E+000, 1.0000000E+000
 2.5003320E+001, 1.3734464E+000, 1.3734464E+000, 1.0000000E+000
 2.6001355E+001, 1.4693783E+000, 1.4693783E+000, 1.0000000E+000
 2.7002626E+001, 1.5335559E+000, 1.5335559E+000, 1.0000000E+000
 2.8004195E+001, 1.6119851E+000, 1.6119851E+000, 1.0000000E+000
 2.9003243E+001, 1.7137006E+000, 1.7137006E+000, 1.0000000E+000
 3.0003597E+001, 1.7912910E+000, 1.7912910E+000, 1.0000000E+000
 3.1003663E+001, 1.8778233E+000, 1.8778233E+000, 1.0000000E+000
