s,m,,
Time,xT,x,flag val
 0.0000000E+000, 2.5000000E-002, 2.5000000E-002, 1.0000000E+000
 1.0159681E+000, 9.9155679E-002, 9.9155679E-002, 1.0000000E+000
 2.0119140E+000, 6.4466349E-002, 6.4466349E-002, 1.0000000E+000
 3.0107427E+000, 5.1244099E-002, 5.1244099E-002, 1.0000000E+000
 4.0116368E+000, 5.2162086E-002, 5.2162086E-002, 1.0000000E+000
 5.0068162E+000, 3.8040216E-002, 3.8040216E-002, 1.0000000E+000
 6.0053216E+000, 4.5220753E-002, 4.5220753E-002, 1.0000000E+000
 7.0065631E+000, 3.2401031E-002, 3.2401031E-002, 1.0000000E+000
 8.0014368E+000, 2.8725974E-002, 2.8725974E-002, 1.0000000E+000
 9.0024250E+000, 5.2859355E-002, 5.2859355E-002, 1.0000000E+000
 1.0005306E+001, 6.6905684E-002, 6.6905684E-002, 1.0000000E+000
 1.1005733E+001, 8.7291300E-002, 8.7291300E-002, 1.0000000E+000
 1.2001230E+001, 1.3014424E-001, 1.3014424E-001, 1.0000000E+000
 1.3004087E+001, 1.5942647E-001, 1.5942647E-001, 1.0000000E+000
 1.4003672E+001, 2.0094205E-001, 2.0094205E-001, 1.0000000E+000
 1.5005812E+001, 2.4221151E-001, 2.4221151E-001, 1.0000000E+000
 1.6005661E+001, 2.7358790E-001, 2.7358790E-001, 1.0000000E+000
 1.7000736E+001, 3.0604705E-001, 3.0604705E-001, 1.0000000E+000
 1.8003769E+001, 3.4577825E-001, 3.4577825E-001, 1.0000000E+000
 1.9004434E+001, 3.8071784E-001, 3.8071784E-001, 1.0000000E+000
 2.0003220E+001, 4.0873723E-001, 4.0873723E-001, 1.0000000E+000
 2.1000893E+001, 4.5030538E-001, 4.5030538E-001, 1.0000000E+000
 2.2003165E+001, 4.9026775E-001, 4.9026775E-001, 1.0000000E+000
 2.3004531E+001, 5.1353726E-001, 5.1353726E-001, 1.0000000E+000
 2.4001840E+001, 5.5098802E-001, 5.5098802E-001, 1.0000000E+000
 2.5000076E+001, 5.9013239E-001, 5.9013239E-001, 1.0000000E+000
 2.6000027E+001, 6.3961936E-001, 6.3961936E-001, 1.0000000E+000
 2.7000693E+001, 6.8539504E-001, 6.8539504E-001, 1.0000000E+000
 2.8002480E+001, 7.1875783E-001, 7.1875783E-001, 1.0000000E+000
 2.9003793E+001, 7.4638809E-001, 7.4638809E-001, 1.0000000E+000
 3.0005505E+001, 7.8069910E-001, 7.8069910E-001, 1.0000000E+000
 3.1003845E+001, 8.1561540E-001, 8.1561540E-001, 1.0000000E+000
