s,m,,
Time,xT,x,flag val
 0.0000000E+000, 2.5000000E-002, 2.5000000E-002, 1.0000000E+000
 1.0121265E+000, 1.6328130E-001, 1.6328130E-001, 1.0000000E+000
 2.0006304E+000, 7.6138399E-002, 7.6138399E-002, 1.0000000E+000
 3.0060050E+000, 4.3618576E-002, 4.3618576E-002, 1.0000000E+000
 4.0029005E+000, 3.1838877E-002, 3.1838877E-002, 1.0000000E+000
 5.0091365E+000, 2.7489069E-002, 2.7489069E-002, 1.0000000E+000
 6.0074447E+000, 2.5913047E-002, 2.5913047E-002, 1.0000000E+000
 7.0053790E+000, 2.5335147E-002, 2.5335147E-002, 1.0000000E+000
 8.0012946E+000, 2.5123274E-002, 2.5123274E-002, 1.0000000E+000
 9.0021227E+000, 2.5045135E-002, 2.5045135E-002, 1.0000000E+000
 1.0004622E+001, 2.5016510E-002, 2.5016510E-002, 1.0000000E+000
 1.1005071E+001, 2.5006053E-002, 2.5006053E-002, 1.0000000E+000
 1.2002193E+001, 2.5002227E-002, 2.5002227E-002, 1.0000000E+000
 1.3002361E+001, 2.5000817E-002, 2.5000817E-002, 1.0000000E+000
 1.4002873E+001, 2.5000300E-002, 2.5000300E-002, 1.0000000E+000
 1.5001972E+001, 2.5000110E-002, 2.5000110E-002, 1.0000000E+000
 1.6003844E+001, 2.5000040E-002, 2.5000040E-002, 1.0000000E+000
 1.7003154E+001, 5.1806305E-002, 5.1806305E-002, 1.0000000E+000
 1.8001321E+001, 6.6471581E-002, 6.6471581E-002, 1.0000000E+000
 1.9000463E+001, 7.1867314E-002, 7.1867314E-002, 1.0000000E+000
 2.0001331E+001, 7.3851172E-002, 7.3851172E-002, 1.0000000E+000
 2.1003544E+001, 1.0253408E-001, 1.0253408E-001, 1.0000000E+000
 2.2001780E+001, 1.1673963E-001, 1.1673963E-001, 1.0000000E+000
 2.3001103E+001, 1.2196659E-001, 1.2196659E-001, 1.0000000E+000
 2.4001802E+001, 1.2388736E-001, 1.2388736E-001, 1.0000000E+000
 2.5000279E+001, 1.4906848E-001, 1.4906848E-001, 1.0000000E+000
 2.6000755E+001, 1.6548484E-001, 1.6548484E-001, 1.0000000E+000
 2.7000380E+001, 1.7150635E-001, 1.7150635E-001, 1.0000000E+000
 2.8002893E+001, 1.7372072E-001, 1.7372072E-001, 1.0000000E+000
 2.9003609E+001, 1.8981354E-001, 1.8981354E-001, 1.0000000E+000
 3.0001622E+001, 2.1205572E-001, 2.1205572E-001, 1.0000000E+000
 3.1003223E+001, 2.2025625E-001, 2.2025625E-001, 1.0000000E+000
