s,m,,
Time,xT,x,flag val
 0.0000000E+000, 2.5000000E-002, 2.5000000E-002, 1.0000000E+000
 1.0067115E+000, 1.6400887E-001, 1.6400887E-001, 1.0000000E+000
 2.0051303E+000, 7.5951216E-002, 7.5951216E-002, 1.0000000E+000
 3.0081899E+000, 4.3603133E-002, 4.3603133E-002, 1.0000000E+000
 4.0023661E+000, 3.1851984E-002, 3.1851984E-002, 1.0000000E+000
 5.0077427E+000, 2.7496195E-002, 2.7496195E-002, 1.0000000E+000
 6.0041377E+000, 2.5917817E-002, 2.5917817E-002, 1.0000000E+000
 7.0040341E+000, 2.5336194E-002, 2.5336194E-002, 1.0000000E+000
 8.0049096E+000, 2.5123077E-002, 2.5123077E-002, 1.0000000E+000
 9.0036337E+000, 2.5045166E-002, 2.5045166E-002, 1.0000000E+000
 1.0003040E+001, 2.5016570E-002, 2.5016570E-002, 1.0000000E+000
 1.1003632E+001, 2.5006074E-002, 2.5006074E-002, 1.0000000E+000
 1.2003158E+001, 2.5002229E-002, 2.5002229E-002, 1.0000000E+000
 1.3002267E+001, 2.5000818E-002, 2.5000818E-002, 1.0000000E+000
 1.4003505E+001, 2.5000300E-002, 2.5000300E-002, 1.0000000E+000
 1.5002993E+001, 4.1214664E-002, 4.1214664E-002, 1.0000000E+000
 1.6001489E+001, 6.2593867E-002, 6.2593867E-002, 1.0000000E+000
 1.7005677E+001, 7.0468426E-002, 7.0468426E-002, 1.0000000E+000
 1.8004319E+001, 7.3336766E-002, 7.3336766E-002, 1.0000000E+000
 1.9000605E+001, 7.4388095E-002, 7.4388095E-002, 1.0000000E+000
 2.0003650E+001, 1.0149312E-001, 1.0149312E-001, 1.0000000E+000
 2.1000361E+001, 1.1635183E-001, 1.1635183E-001, 1.0000000E+000
 2.2005425E+001, 1.2184381E-001, 1.2184381E-001, 1.0000000E+000
 2.3002439E+001, 1.2383946E-001, 1.2383946E-001, 1.0000000E+000
 2.4001054E+001, 1.2457406E-001, 1.2457406E-001, 1.0000000E+000
 2.5001671E+001, 1.4590263E-001, 1.4590263E-001, 1.0000000E+000
 2.6002839E+001, 1.6434242E-001, 1.6434242E-001, 1.0000000E+000
 2.7002130E+001, 1.7108816E-001, 1.7108816E-001, 1.0000000E+000
 2.8005882E+001, 1.7357136E-001, 1.7357136E-001, 1.0000000E+000
 2.9004174E+001, 1.7447548E-001, 1.7447548E-001, 1.0000000E+000
 3.0002467E+001, 1.8783808E-001, 1.8783808E-001, 1.0000000E+000
 3.1003754E+001, 2.1138843E-001, 2.1138843E-001, 1.0000000E+000
