s,m,,
Time,xT,x,flag val
 0.0000000E+000, 2.5000000E-002, 2.5000000E-002, 1.0000000E+000
 1.0005935E+000, 1.6768063E-001, 1.6768063E-001, 1.0000000E+000
 2.0014015E+000, 7.7188844E-002, 7.7188844E-002, 1.0000000E+000
 3.0072829E+000, 4.4004765E-002, 4.4004765E-002, 1.0000000E+000
 4.0024893E+000, 3.1995317E-002, 3.1995317E-002, 1.0000000E+000
 5.0033900E+000, 2.7560229E-002, 2.7560229E-002, 1.0000000E+000
 6.0064812E+000, 2.5935479E-002, 2.5935479E-002, 1.0000000E+000
 7.0011988E+000, 2.5344811E-002, 2.5344811E-002, 1.0000000E+000
 8.0062362E+000, 2.5125794E-002, 2.5125794E-002, 1.0000000E+000
 9.0013265E+000, 2.5929437E-002, 2.5929437E-002, 1.0000000E+000
 1.0006859E+001, 2.5338798E-002, 2.5338798E-002, 1.0000000E+000
 1.1007229E+001, 3.3555626E-002, 3.3555626E-002, 1.0000000E+000
 1.2000841E+001, 3.4111448E-002, 3.4111448E-002, 1.0000000E+000
 1.3001699E+001, 3.2998079E-002, 3.2998079E-002, 1.0000000E+000
 1.4001089E+001, 4.5111616E-002, 4.5111616E-002, 1.0000000E+000
 1.5004723E+001, 6.0612222E-002, 6.0612222E-002, 1.0000000E+000
 1.6007307E+001, 6.3121547E-002, 6.3121547E-002, 1.0000000E+000
 1.7000940E+001, 6.9342621E-002, 6.9342621E-002, 1.0000000E+000
 1.8004200E+001, 7.2933381E-002, 7.2933381E-002, 1.0000000E+000
 1.9001606E+001, 7.4240384E-002, 7.4240384E-002, 1.0000000E+000
 2.0005141E+001, 7.4722527E-002, 7.4722527E-002, 1.0000000E+000
 2.1004069E+001, 7.3146377E-002, 7.3146377E-002, 1.0000000E+000
 2.2006899E+001, 6.5558735E-002, 6.5558735E-002, 1.0000000E+000
 2.3004406E+001, 6.5615523E-002, 6.5615523E-002, 1.0000000E+000
 2.4003988E+001, 6.6458032E-002, 6.6458032E-002, 1.0000000E+000
 2.5007088E+001, 6.4005612E-002, 6.4005612E-002, 1.0000000E+000
 2.6005826E+001, 6.0984411E-002, 6.0984411E-002, 1.0000000E+000
 2.7002868E+001, 6.7057341E-002, 6.7057341E-002, 1.0000000E+000
 2.8006116E+001, 7.2099321E-002, 7.2099321E-002, 1.0000000E+000
 2.9004790E+001, 7.3935769E-002, 7.3935769E-002, 1.0000000E+000
 3.0004440E+001, 7.2083239E-002, 7.2083239E-002, 1.0000000E+000
 3.1003799E+001, 7.1024838E-002, 7.1024838E-002, 1.0000000E+000
