s,m,,
Time,xT,x,flag val
 0.0000000E+000, 2.5000000E-002, 2.5000000E-002, 1.0000000E+000
 1.0077982E+000, 9.9239466E-002, 9.9239466E-002, 1.0000000E+000
 2.0020354E+000, 1.0851027E-001, 1.0851027E-001, 1.0000000E+000
 3.0104837E+000, 1.1395705E-001, 1.1395705E-001, 1.0000000E+000
 4.0082364E+000, 9.7329188E-002, 9.7329188E-002, 1.0000000E+000
 5.0064804E+000, 1.0487928E-001, 1.0487928E-001, 1.0000000E+000
 6.0032637E+000, 9.5370404E-002, 9.5370404E-002, 1.0000000E+000
 7.0092832E+000, 9.5302760E-002, 9.5302760E-002, 1.0000000E+000
 8.0025106E+000, 1.0902341E-001, 1.0902341E-001, 1.0000000E+000
 9.0021328E+000, 1.0817298E-001, 1.0817298E-001, 1.0000000E+000
 1.0007718E+001, 1.2606772E-001, 1.2606772E-001, 1.0000000E+000
 1.1002470E+001, 1.2203569E-001, 1.2203569E-001, 1.0000000E+000
 1.2006058E+001, 1.3498104E-001, 1.3498104E-001, 1.0000000E+000
 1.3001126E+001, 1.5672899E-001, 1.5672899E-001, 1.0000000E+000
 1.4005670E+001, 1.4799037E-001, 1.4799037E-001, 1.0000000E+000
 1.5002795E+001, 1.5270589E-001, 1.5270589E-001, 1.0000000E+000
 1.6006233E+001, 1.4890759E-001, 1.4890759E-001, 1.0000000E+000
 1.7000595E+001, 1.7657848E-001, 1.7657848E-001, 1.0000000E+000
 1.8001012E+001, 1.6741541E-001, 1.6741541E-001, 1.0000000E+000
 1.9003502E+001, 1.4822837E-001, 1.4822837E-001, 1.0000000E+000
 2.0002905E+001, 1.7275864E-001, 1.7275864E-001, 1.0000000E+000
 2.1003265E+001, 2.0528029E-001, 2.0528029E-001, 1.0000000E+000
 2.2002788E+001, 2.5122807E-001, 2.5122807E-001, 1.0000000E+000
 2.3005257E+001, 2.1215305E-001, 2.1215305E-001, 1.0000000E+000
 2.4004266E+001, 2.0712844E-001, 2.0712844E-001, 1.0000000E+000
 2.5000651E+001, 2.2325645E-001, 2.2325645E-001, 1.0000000E+000
 2.6000260E+001, 2.7044367E-001, 2.7044367E-001, 1.0000000E+000
 2.7002084E+001, 3.6268501E-001, 3.6268501E-001, 1.0000000E+000
 2.8000033E+001, 3.1045415E-001, 3.1045415E-001, 1.0000000E+000
 2.9002395E+001, 2.9414963E-001, 2.9414963E-001, 1.0000000E+000
 3.0000611E+001, 3.1720423E-001, 3.1720423E-001, 1.0000000E+000
 3.1002512E+001, 2.9046333E-001, 2.9046333E-001, 1.0000000E+000
