s,m,,
Time,xT,x,flag val
 0.0000000E+000, 2.5000000E-002, 2.5000000E-002, 1.0000000E+000
 1.0020033E+000, 8.7852918E-002, 8.7852918E-002, 1.0000000E+000
 2.0157393E+000, 4.8666507E-002, 4.8666507E-002, 1.0000000E+000
 3.0103891E+000, 3.3661751E-002, 3.3661751E-002, 1.0000000E+000
 4.0147105E+000, 2.8144864E-002, 2.8144864E-002, 1.0000000E+000
 5.0094762E+000, 2.7455548E-002, 2.7455548E-002, 1.0000000E+000
 6.0060663E+000, 2.6763412E-002, 2.6763412E-002, 1.0000000E+000
 7.0066613E+000, 2.5645507E-002, 2.5645507E-002, 1.0000000E+000
 8.0076681E+000, 2.5236336E-002, 2.5236336E-002, 1.0000000E+000
 9.0028180E+000, 2.5087083E-002, 2.5087083E-002, 1.0000000E+000
 1.0002374E+001, 5.1085507E-002, 5.1085507E-002, 1.0000000E+000
 1.1000151E+001, 6.6206171E-002, 6.6206171E-002, 1.0000000E+000
 1.2005209E+001, 7.1791790E-002, 7.1791790E-002, 1.0000000E+000
 1.3004135E+001, 1.0239166E-001, 1.0239166E-001, 1.0000000E+000
 1.4001686E+001, 1.1669275E-001, 1.1669275E-001, 1.0000000E+000
 1.5001166E+001, 1.2195313E-001, 1.2195313E-001, 1.0000000E+000
 1.6002608E+001, 1.2388434E-001, 1.2388434E-001, 1.0000000E+000
 1.7002967E+001, 1.2459107E-001, 1.2459107E-001, 1.0000000E+000
 1.8006804E+001, 1.2621486E-001, 1.2621486E-001, 1.0000000E+000
 1.9006098E+001, 1.5137506E-001, 1.5137506E-001, 1.0000000E+000
 2.0004611E+001, 1.6815224E-001, 1.6815224E-001, 1.0000000E+000
 2.1002785E+001, 1.7955874E-001, 1.7955874E-001, 1.0000000E+000
 2.2000189E+001, 1.8932321E-001, 1.8932321E-001, 1.0000000E+000
 2.3001233E+001, 2.1193428E-001, 2.1193428E-001, 1.0000000E+000
 2.4006443E+001, 2.4851223E-001, 2.4851223E-001, 1.0000000E+000
 2.5002052E+001, 2.8053305E-001, 2.8053305E-001, 1.0000000E+000
 2.6003730E+001, 3.0871709E-001, 3.0871709E-001, 1.0000000E+000
 2.7005711E+001, 3.4257557E-001, 3.4257557E-001, 1.0000000E+000
 2.8001976E+001, 3.6306215E-001, 3.6306215E-001, 1.0000000E+000
 2.9002966E+001, 3.9747036E-001, 3.9747036E-001, 1.0000000E+000
 3.0004319E+001, 4.1491766E-001, 4.1491766E-001, 1.0000000E+000
 3.1003416E+001, 4.4810276E-001, 4.4810276E-001, 1.0000000E+000
