s,m,,
Time,xT,x,flag val
 0.0000000E+000, 2.5000000E-002, 2.5000000E-002, 1.0000000E+000
 1.0079582E+000, 1.6115426E-001, 1.6115426E-001, 1.0000000E+000
 2.0066709E+000, 7.7441738E-002, 7.7441738E-002, 1.0000000E+000
 3.0060663E+000, 4.4213159E-002, 4.4213159E-002, 1.0000000E+000
 4.0041301E+000, 3.5466590E-002, 3.5466590E-002, 1.0000000E+000
 5.0002500E+000, 3.0697373E-002, 3.0697373E-002, 1.0000000E+000
 6.0065136E+000, 2.7570266E-002, 2.7570266E-002, 1.0000000E+000
 7.0003714E+000, 2.9316036E-002, 2.9316036E-002, 1.0000000E+000
 8.0000796E+000, 3.1042451E-002, 3.1042451E-002, 1.0000000E+000
 9.0007946E+000, 4.3826734E-002, 4.3826734E-002, 1.0000000E+000
 1.0003203E+001, 5.4654569E-002, 5.4654569E-002, 1.0000000E+000
 1.1002743E+001, 3.6158739E-002, 3.6158739E-002, 1.0000000E+000
 1.2002019E+001, 2.9096976E-002, 2.9096976E-002, 1.0000000E+000
 1.3000923E+001, 2.6505089E-002, 2.6505089E-002, 1.0000000E+000
 1.4003728E+001, 2.5550867E-002, 2.5550867E-002, 1.0000000E+000
 1.5001998E+001, 2.5202515E-002, 2.5202515E-002, 1.0000000E+000
 1.6003294E+001, 2.5074220E-002, 2.5074220E-002, 1.0000000E+000
 1.7001258E+001, 2.5027290E-002, 2.5027290E-002, 1.0000000E+000
 1.8003688E+001, 2.5009989E-002, 2.5009989E-002, 1.0000000E+000
 1.9003456E+001, 2.5003666E-002, 2.5003666E-002, 1.0000000E+000
 2.0003763E+001, 2.5001345E-002, 2.5001345E-002, 1.0000000E+000
 2.1002888E+001, 4.8962480E-002, 4.8962480E-002, 1.0000000E+000
 2.2001232E+001, 6.5431951E-002, 6.5431951E-002, 1.0000000E+000
 2.3000794E+001, 7.1487328E-002, 7.1487328E-002, 1.0000000E+000
 2.4002178E+001, 7.6469846E-002, 7.6469846E-002, 1.0000000E+000
 2.5001754E+001, 1.0718536E-001, 1.0718536E-001, 1.0000000E+000
 2.6002881E+001, 1.1847396E-001, 1.1847396E-001, 1.0000000E+000
 2.7004858E+001, 1.2261019E-001, 1.2261019E-001, 1.0000000E+000
 2.8004758E+001, 1.3985416E-001, 1.3985416E-001, 1.0000000E+000
 2.9002016E+001, 1.6206640E-001, 1.6206640E-001, 1.0000000E+000
 3.0006024E+001, 1.7027443E-001, 1.7027443E-001, 1.0000000E+000
 3.1003014E+001, 1.7326107E-001, 1.7326107E-001, 1.0000000E+000
