s,m,,
Time,xT,x,flag val
 0.0000000E+000, 2.5000000E-002, 2.5000000E-002, 1.0000000E+000
 1.0068878E+000, 4.0626833E-002, 4.0626833E-002, 1.0000000E+000
 2.0018868E+000, 5.5624979E-002, 5.5624979E-002, 1.0000000E+000
 3.0082884E+000, 6.7956207E-002, 6.7956207E-002, 1.0000000E+000
 4.0088853E+000, 6.9768675E-002, 6.9768675E-002, 1.0000000E+000
 5.0055076E+000, 7.1954797E-002, 7.1954797E-002, 1.0000000E+000
 6.0038409E+000, 6.9387763E-002, 6.9387763E-002, 1.0000000E+000
 7.0093149E+000, 4.1161708E-002, 4.1161708E-002, 1.0000000E+000
 8.0042559E+000, 3.0946781E-002, 3.0946781E-002, 1.0000000E+000
 9.0053598E+000, 2.7176309E-002, 2.7176309E-002, 1.0000000E+000
 1.0002875E+001, 2.5800048E-002, 2.5800048E-002, 1.0000000E+000
 1.1003271E+001, 4.5763504E-002, 4.5763504E-002, 1.0000000E+000
 1.2006748E+001, 6.4318124E-002, 6.4318124E-002, 1.0000000E+000
 1.3001367E+001, 7.1064535E-002, 7.1064535E-002, 1.0000000E+000
 1.4001232E+001, 7.3557720E-002, 7.3557720E-002, 1.0000000E+000
 1.5000200E+001, 1.0612357E-001, 1.0612357E-001, 1.0000000E+000
 1.6003419E+001, 1.1810065E-001, 1.1810065E-001, 1.0000000E+000
 1.7007402E+001, 1.2248173E-001, 1.2248173E-001, 1.0000000E+000
 1.8001221E+001, 1.2407111E-001, 1.2407111E-001, 1.0000000E+000
 1.9000725E+001, 1.2465939E-001, 1.2465939E-001, 1.0000000E+000
 2.0000499E+001, 1.4246488E-001, 1.4246488E-001, 1.0000000E+000
 2.1002046E+001, 1.6309004E-001, 1.6309004E-001, 1.0000000E+000
 2.2002242E+001, 1.7063516E-001, 1.7063516E-001, 1.0000000E+000
 2.3003288E+001, 1.7340122E-001, 1.7340122E-001, 1.0000000E+000
 2.4004208E+001, 1.8987911E-001, 1.8987911E-001, 1.0000000E+000
 2.5002152E+001, 2.1209724E-001, 2.1209724E-001, 1.0000000E+000
 2.6002444E+001, 2.2027122E-001, 2.2027122E-001, 1.0000000E+000
 2.7000287E+001, 2.2326323E-001, 2.2326323E-001, 1.0000000E+000
 2.8002828E+001, 2.2436474E-001, 2.2436474E-001, 1.0000000E+000
 2.9000408E+001, 2.4046751E-001, 2.4046751E-001, 1.0000000E+000
 3.0005824E+001, 2.6240568E-001, 2.6240568E-001, 1.0000000E+000
 3.1002888E+001, 2.7036966E-001, 2.7036966E-001, 1.0000000E+000
