s,m,,
Time,xT,x,flag val
 0.0000000E+000, 2.5000000E-002, 2.5000000E-002, 1.0000000E+000
 1.0079361E+000, 7.4877540E-002, 7.4877540E-002, 1.0000000E+000
 2.0110227E+000, 4.3117874E-002, 4.3117874E-002, 1.0000000E+000
 3.0080237E+000, 3.1645224E-002, 3.1645224E-002, 1.0000000E+000
 4.0104760E+000, 2.7423771E-002, 2.7423771E-002, 1.0000000E+000
 5.0014219E+000, 2.5894529E-002, 2.5894529E-002, 1.0000000E+000
 6.0051172E+000, 2.5326066E-002, 2.5326066E-002, 1.0000000E+000
 7.0023631E+000, 2.5119696E-002, 2.5119696E-002, 1.0000000E+000
 8.0032561E+000, 2.6119090E-002, 2.6119090E-002, 1.0000000E+000
 9.0032405E+000, 2.5410183E-002, 2.5410183E-002, 1.0000000E+000
 1.0005039E+001, 2.5150124E-002, 2.5150124E-002, 1.0000000E+000
 1.1002666E+001, 2.5055147E-002, 2.5055147E-002, 1.0000000E+000
 1.2006240E+001, 2.5020138E-002, 2.5020138E-002, 1.0000000E+000
 1.3002096E+001, 2.7092298E-002, 2.7092298E-002, 1.0000000E+000
 1.4000601E+001, 3.9290978E-002, 3.9290978E-002, 1.0000000E+000
 1.5002512E+001, 6.1930964E-002, 6.1930964E-002, 1.0000000E+000
 1.6000530E+001, 7.0048822E-002, 7.0048822E-002, 1.0000000E+000
 1.7006207E+001, 7.3195397E-002, 7.3195397E-002, 1.0000000E+000
 1.8005541E+001, 7.4337963E-002, 7.4337963E-002, 1.0000000E+000
 1.9000301E+001, 7.4755873E-002, 7.4755873E-002, 1.0000000E+000
 2.0004311E+001, 7.4910798E-002, 7.4910798E-002, 1.0000000E+000
 2.1001384E+001, 8.5926692E-002, 8.5926692E-002, 1.0000000E+000
 2.2002309E+001, 1.1067981E-001, 1.1067981E-001, 1.0000000E+000
 2.3002947E+001, 1.1975011E-001, 1.1975011E-001, 1.0000000E+000
 2.4004734E+001, 1.2307745E-001, 1.2307745E-001, 1.0000000E+000
 2.5005911E+001, 1.5425607E-001, 1.5425607E-001, 1.0000000E+000
 2.6000982E+001, 1.6735291E-001, 1.6735291E-001, 1.0000000E+000
 2.7002176E+001, 1.7219856E-001, 1.7219856E-001, 1.0000000E+000
 2.8002787E+001, 1.8593487E-001, 1.8593487E-001, 1.0000000E+000
 2.9004205E+001, 2.1069298E-001, 2.1069298E-001, 1.0000000E+000
 3.0005863E+001, 2.1976146E-001, 2.1976146E-001, 1.0000000E+000
 3.1000928E+001, 2.2306902E-001, 2.2306902E-001, 1.0000000E+000
