s,m,,
Time,xT,x,flag val
 0.0000000E+000, 2.5000000E-002, 2.5000000E-002, 1.0000000E+000
 1.0079200E+000, 7.4036366E-002, 7.4036366E-002, 1.0000000E+000
 2.0064125E+000, 4.4957226E-002, 4.4957226E-002, 1.0000000E+000
 3.0117981E+000, 3.2243447E-002, 3.2243447E-002, 1.0000000E+000
 4.0094139E+000, 2.7650149E-002, 2.7650149E-002, 1.0000000E+000
 5.0044798E+000, 2.5973250E-002, 2.5973250E-002, 1.0000000E+000
 6.0025562E+000, 2.5888577E-002, 2.5888577E-002, 1.0000000E+000
 7.0074176E+000, 2.8992707E-002, 2.8992707E-002, 1.0000000E+000
 8.0008625E+000, 2.6471511E-002, 2.6471511E-002, 1.0000000E+000
 9.0045161E+000, 3.7275059E-002, 3.7275059E-002, 1.0000000E+000
 1.0000030E+001, 5.9175021E-002, 5.9175021E-002, 1.0000000E+000
 1.1004734E+001, 6.3528606E-002, 6.3528606E-002, 1.0000000E+000
 1.2003431E+001, 7.0788876E-002, 7.0788876E-002, 1.0000000E+000
 1.3001007E+001, 9.3598131E-002, 9.3598131E-002, 1.0000000E+000
 1.4003328E+001, 1.1351136E-001, 1.1351136E-001, 1.0000000E+000
 1.5000458E+001, 1.2077647E-001, 1.2077647E-001, 1.0000000E+000
 1.6006664E+001, 1.2346133E-001, 1.2346133E-001, 1.0000000E+000
 1.7002775E+001, 1.2443390E-001, 1.2443390E-001, 1.0000000E+000
 1.8001217E+001, 1.2987662E-001, 1.2987662E-001, 1.0000000E+000
 1.9001728E+001, 1.5029553E-001, 1.5029553E-001, 1.0000000E+000
 2.0006303E+001, 1.6598721E-001, 1.6598721E-001, 1.0000000E+000
 2.1002738E+001, 1.7168638E-001, 1.7168638E-001, 1.0000000E+000
 2.2005278E+001, 1.9312262E-001, 1.9312262E-001, 1.0000000E+000
 2.3001599E+001, 2.2166563E-001, 2.2166563E-001, 1.0000000E+000
 2.4001130E+001, 2.5543806E-001, 2.5543806E-001, 1.0000000E+000
 2.5001628E+001, 2.8890143E-001, 2.8890143E-001, 1.0000000E+000
 2.6006369E+001, 3.1183064E-001, 3.1183064E-001, 1.0000000E+000
 2.7005706E+001, 3.4397759E-001, 3.4397759E-001, 1.0000000E+000
 2.8002144E+001, 3.6357981E-001, 3.6357981E-001, 1.0000000E+000
 2.9000144E+001, 3.9397431E-001, 3.9397431E-001, 1.0000000E+000
 3.0000319E+001, 4.1362569E-001, 4.1362569E-001, 1.0000000E+000
 3.1000914E+001, 4.4171711E-001, 4.4171711E-001, 1.0000000E+000
