s,m,,
Time,xT,x,flag val
 0.0000000E+000, 2.5000000E-002, 2.5000000E-002, 1.0000000E+000
 1.0068879E+000, 4.0626831E-002, 4.0626831E-002, 1.0000000E+000
 2.0018744E+000, 4.4718144E-002, 4.4718144E-002, 1.0000000E+000
 3.0018974E+000, 6.3920465E-002, 6.3920465E-002, 1.0000000E+000
 4.0030080E+000, 7.0949753E-002, 7.0949753E-002, 1.0000000E+000
 5.0102746E+000, 7.3528409E-002, 7.3528409E-002, 1.0000000E+000
 6.0050145E+000, 6.0842586E-002, 6.0842586E-002, 1.0000000E+000
 7.0003857E+000, 3.8183450E-002, 3.8183450E-002, 1.0000000E+000
 8.0004479E+000, 2.9827318E-002, 2.9827318E-002, 1.0000000E+000
 9.0040753E+000, 2.6762743E-002, 2.6762743E-002, 1.0000000E+000
 1.0002678E+001, 2.5647184E-002, 2.5647184E-002, 1.0000000E+000
 1.1001416E+001, 5.1984083E-002, 5.1984083E-002, 1.0000000E+000
 1.2006191E+001, 6.6604005E-002, 6.6604005E-002, 1.0000000E+000
 1.3004101E+001, 7.1916914E-002, 7.1916914E-002, 1.0000000E+000
 1.4002447E+001, 8.2850967E-002, 8.2850967E-002, 1.0000000E+000
 1.5007474E+001, 1.0962476E-001, 1.0962476E-001, 1.0000000E+000
 1.6002970E+001, 1.1933947E-001, 1.1933947E-001, 1.0000000E+000
 1.7003008E+001, 1.2292588E-001, 1.2292588E-001, 1.0000000E+000
 1.8003849E+001, 1.2424027E-001, 1.2424027E-001, 1.0000000E+000
 1.9001459E+001, 1.2472072E-001, 1.2472072E-001, 1.0000000E+000
 2.0002706E+001, 1.4878009E-001, 1.4878009E-001, 1.0000000E+000
 2.1002334E+001, 1.6538476E-001, 1.6538476E-001, 1.0000000E+000
 2.2004407E+001, 1.7148340E-001, 1.7148340E-001, 1.0000000E+000
 2.3001563E+001, 1.7370704E-001, 1.7370704E-001, 1.0000000E+000
 2.4006271E+001, 1.9473133E-001, 1.9473133E-001, 1.0000000E+000
 2.5005355E+001, 2.1389340E-001, 2.1389340E-001, 1.0000000E+000
 2.6005364E+001, 2.2092972E-001, 2.2092972E-001, 1.0000000E+000
 2.7003085E+001, 2.2350395E-001, 2.2350395E-001, 1.0000000E+000
 2.8004239E+001, 2.2445209E-001, 2.2445209E-001, 1.0000000E+000
 2.9000358E+001, 2.4784269E-001, 2.4784269E-001, 1.0000000E+000
 3.0001326E+001, 2.6505193E-001, 2.6505193E-001, 1.0000000E+000
 3.1001918E+001, 2.7135530E-001, 2.7135530E-001, 1.0000000E+000
