s,m,,
Time,xT,x,flag val
 0.0000000E+000, 2.5000000E-002, 2.5000000E-002, 1.0000000E+000
 1.0084899E+000, 1.6109107E-001, 1.6109107E-001, 1.0000000E+000
 2.0009472E+000, 7.8431264E-002, 7.8431264E-002, 1.0000000E+000
 3.0031244E+000, 5.9774339E-002, 5.9774339E-002, 1.0000000E+000
 4.0061905E+000, 6.5367655E-002, 6.5367655E-002, 1.0000000E+000
 5.0041123E+000, 6.4761299E-002, 6.4761299E-002, 1.0000000E+000
 6.0049237E+000, 5.8898105E-002, 5.8898105E-002, 1.0000000E+000
 7.0021688E+000, 5.0695856E-002, 5.0695856E-002, 1.0000000E+000
 8.0058004E+000, 4.2213108E-002, 4.2213108E-002, 1.0000000E+000
 9.0045291E+000, 4.0793357E-002, 4.0793357E-002, 1.0000000E+000
 1.0002689E+001, 4.3677682E-002, 4.3677682E-002, 1.0000000E+000
 1.1001027E+001, 5.5088927E-002, 5.5088927E-002, 1.0000000E+000
 1.2006165E+001, 5.0566651E-002, 5.0566651E-002, 1.0000000E+000
 1.3004770E+001, 3.5080941E-002, 3.5080941E-002, 1.0000000E+000
 1.4000298E+001, 2.8714645E-002, 2.8714645E-002, 1.0000000E+000
 1.5001447E+001, 2.6361270E-002, 2.6361270E-002, 1.0000000E+000
 1.6000016E+001, 2.5500368E-002, 2.5500368E-002, 1.0000000E+000
 1.7003755E+001, 2.5182983E-002, 2.5182983E-002, 1.0000000E+000
 1.8002695E+001, 2.5067223E-002, 2.5067223E-002, 1.0000000E+000
 1.9002445E+001, 2.5024676E-002, 2.5024676E-002, 1.0000000E+000
 2.0003248E+001, 2.5009050E-002, 2.5009050E-002, 1.0000000E+000
 2.1002511E+001, 2.5003324E-002, 2.5003324E-002, 1.0000000E+000
 2.2001649E+001, 2.5001221E-002, 2.5001221E-002, 1.0000000E+000
 2.3000777E+001, 2.5000448E-002, 2.5000448E-002, 1.0000000E+000
 2.4004247E+001, 5.4301940E-002, 5.4301940E-002, 1.0000000E+000
 2.5003909E+001, 6.7401070E-002, 6.7401070E-002, 1.0000000E+000
 2.6000873E+001, 7.2203193E-002, 7.2203193E-002, 1.0000000E+000
 2.7001822E+001, 7.3974573E-002, 7.3974573E-002, 1.0000000E+000
 2.8003103E+001, 7.4624122E-002, 7.4624122E-002, 1.0000000E+000
 2.9002315E+001, 8.7670060E-002, 8.7670060E-002, 1.0000000E+000
 3.0001220E+001, 1.1128894E-001, 1.1128894E-001, 1.0000000E+000
 3.1003713E+001, 1.1998172E-001, 1.1998172E-001, 1.0000000E+000
