s,m,,
Time,xT,x,flag val
 0.0000000E+000, 2.5000000E-002, 2.5000000E-002, 1.0000000E+000
 1.0043489E+000, 1.6716193E-001, 1.6716193E-001, 1.0000000E+000
 2.0035100E+000, 9.2548660E-002, 9.2548660E-002, 1.0000000E+000
 3.0069424E+000, 8.1402356E-002, 8.1402356E-002, 1.0000000E+000
 4.0085892E+000, 7.7341274E-002, 7.7341274E-002, 1.0000000E+000
 5.0030036E+000, 7.5862258E-002, 7.5862258E-002, 1.0000000E+000
 6.0072826E+000, 7.5314529E-002, 7.5314529E-002, 1.0000000E+000
 7.0032127E+000, 7.5115684E-002, 7.5115684E-002, 1.0000000E+000
 8.0049171E+000, 7.5042307E-002, 7.5042307E-002, 1.0000000E+000
 9.0067580E+000, 7.5015469E-002, 7.5015469E-002, 1.0000000E+000
 1.0005540E+001, 7.5005673E-002, 7.5005673E-002, 1.0000000E+000
 1.1002234E+001, 7.1322218E-002, 7.1322218E-002, 1.0000000E+000
 1.2004281E+001, 6.8999929E-002, 6.8999929E-002, 1.0000000E+000
 1.3005096E+001, 6.0719736E-002, 6.0719736E-002, 1.0000000E+000
 1.4004689E+001, 5.7995875E-002, 5.7995875E-002, 1.0000000E+000
 1.5001290E+001, 5.6988763E-002, 5.6988763E-002, 1.0000000E+000
 1.6006576E+001, 6.0147765E-002, 6.0147765E-002, 1.0000000E+000
 1.7003253E+001, 5.5423277E-002, 5.5423277E-002, 1.0000000E+000
 1.8004076E+001, 4.1742153E-002, 4.1742153E-002, 1.0000000E+000
 1.9000675E+001, 3.2166396E-002, 3.2166396E-002, 1.0000000E+000
 2.0003748E+001, 2.7814004E-002, 2.7814004E-002, 1.0000000E+000
 2.1005416E+001, 2.6030196E-002, 2.6030196E-002, 1.0000000E+000
 2.2005214E+001, 2.5377865E-002, 2.5377865E-002, 1.0000000E+000
 2.3004587E+001, 2.5138690E-002, 2.5138690E-002, 1.0000000E+000
 2.4001521E+001, 2.5051040E-002, 2.5051040E-002, 1.0000000E+000
 2.5001201E+001, 2.5018735E-002, 2.5018735E-002, 1.0000000E+000
 2.6004226E+001, 2.5006854E-002, 2.5006854E-002, 1.0000000E+000
 2.7000749E+001, 2.5002523E-002, 2.5002523E-002, 1.0000000E+000
 2.8000980E+001, 2.5000926E-002, 2.5000926E-002, 1.0000000E+000
 2.9001458E+001, 2.5000340E-002, 2.5000340E-002, 1.0000000E+000
 3.0000738E+001, 2.5000125E-002, 2.5000125E-002, 1.0000000E+000
 3.1000922E+001, 2.5000046E-002, 2.5000046E-002, 1.0000000E+000
