s,m,,
Time,xT,x,flag val
 0.0000000E+000, 2.5000000E-002, 2.5000000E-002, 1.0000000E+000
 1.0020033E+000, 8.7852915E-002, 8.7852915E-002, 1.0000000E+000
 2.0158391E+000, 4.8086407E-002, 4.8086407E-002, 1.0000000E+000
 3.0124148E+000, 3.3432883E-002, 3.3432883E-002, 1.0000000E+000
 4.0019074E+000, 2.8108221E-002, 2.8108221E-002, 1.0000000E+000
 5.0045924E+000, 2.9534997E-002, 2.9534997E-002, 1.0000000E+000
 6.0059414E+000, 2.6656309E-002, 2.6656309E-002, 1.0000000E+000
 7.0008757E+000, 2.5609949E-002, 2.5609949E-002, 1.0000000E+000
 8.0054798E+000, 2.5222520E-002, 2.5222520E-002, 1.0000000E+000
 9.0009857E+000, 3.4277548E-002, 3.4277548E-002, 1.0000000E+000
 1.0000314E+001, 6.0053773E-002, 6.0053773E-002, 1.0000000E+000
 1.1004875E+001, 6.9543929E-002, 6.9543929E-002, 1.0000000E+000
 1.2000856E+001, 8.7096290E-002, 8.7096290E-002, 1.0000000E+000
 1.3000904E+001, 1.1110104E-001, 1.1110104E-001, 1.0000000E+000
 1.4004524E+001, 1.1992266E-001, 1.1992266E-001, 1.0000000E+000
 1.5006469E+001, 1.2314163E-001, 1.2314163E-001, 1.0000000E+000
 1.6000670E+001, 1.2653830E-001, 1.2653830E-001, 1.0000000E+000
 1.7005126E+001, 1.3258814E-001, 1.3258814E-001, 1.0000000E+000
 1.8001386E+001, 1.4079600E-001, 1.4079600E-001, 1.0000000E+000
 1.9003055E+001, 1.4982391E-001, 1.4982391E-001, 1.0000000E+000
 2.0000203E+001, 1.7092820E-001, 1.7092820E-001, 1.0000000E+000
 2.1003432E+001, 1.9216406E-001, 1.9216406E-001, 1.0000000E+000
 2.2003769E+001, 2.0269349E-001, 2.0269349E-001, 1.0000000E+000
 2.3002848E+001, 2.1681293E-001, 2.1681293E-001, 1.0000000E+000
 2.4002109E+001, 2.5269994E-001, 2.5269994E-001, 1.0000000E+000
 2.5004932E+001, 2.8485100E-001, 2.8485100E-001, 1.0000000E+000
 2.6005249E+001, 3.1028065E-001, 3.1028065E-001, 1.0000000E+000
 2.7004214E+001, 3.4855226E-001, 3.4855226E-001, 1.0000000E+000
 2.8002798E+001, 3.6947109E-001, 3.6947109E-001, 1.0000000E+000
 2.9001423E+001, 4.0257488E-001, 4.0257488E-001, 1.0000000E+000
 3.0003459E+001, 4.2425446E-001, 4.2425446E-001, 1.0000000E+000
 3.1001564E+001, 4.5634457E-001, 4.5634457E-001, 1.0000000E+000
